farm_id,ws_bin_ms,weibull_weight,best_orientation_power_kw,mean_orientation_power_kw,weighted_recovered_power_kw,recovery_contribution_pct
66,25.0,5.642197530932759e-07,739999.9999999999,740000.0,-6.568382413746742e-17,-1.0930340757521166e-18
91,3.0,0.08125665917515087,779.3891639207459,684.2729063783648,7.72882932113713,0.11321306316286867
91,4.0,0.10922548493286324,15236.521246993063,13945.03357247642,141.06336753389607,2.066317585110323
91,5.0,0.1284407558837825,40355.88246119672,37493.830993787764,367.6040538522954,5.384719889451947
91,6.0,0.13601519315251284,77304.508134126,72436.1427645874,662.1716560747956,9.699590767108242
91,7.0,0.131546848719524,125960.46778590334,118602.97720992185,967.8546997539601,14.177282315713367
91,8.0,0.11704452233379797,190176.9590028624,179612.30605594316,1236.5347577945126,18.11294852305988
91,9.0,0.09617546932390715,277148.5106775613,263057.2438667121,1355.2341989018175,19.851675924728177
91,10.0,0.07312144832831516,386656.3322513481,369620.6838487792,1245.6712844077897,18.246781749487756
91,11.0,0.05147759013701758,504844.74163360335,490800.01777406555,722.9885384288785,10.590445676336401
91,12.0,0.0335583426151657,544591.6191246546,541038.4759718883,119.23759528126084,1.7466103655630771
91,13.0,0.020249250252029227,549956.7502785983,549921.6402121631,0.7109525216114003,0.010414140277993611
91,14.0,0.011301354931831889,549999.9999999999,550000.0,-1.3156508714696263e-12,-1.927185334583885e-14
91,15.0,0.005828616632684673,549999.9999999999,550000.0,-6.785402810998113e-13,-9.939360867060945e-15
91,16.0,0.0027749563300495045,549999.9999999999,550000.0,-3.23047434218403e-13,-4.732047772713626e-15
91,17.0,0.0012181649225388063,549999.9999999999,550000.0,-1.4181306149563825e-13,-2.077299215874431e-15
91,18.0,0.0004924855533087282,549999.9999999999,550000.0,-5.733286418355166e-14,-8.398204830800455e-16
91,19.0,0.00018313883872213366,549999.9999999999,550000.0,-2.1320166848848302e-14,-3.1230103497051147e-16
91,20.0,6.256328266302704e-05,549999.9999999999,550000.0,-7.283324685765784e-15,-1.066872437498678e-16
91,21.0,1.9609135217318043e-05,549999.9999999999,550000.0,-2.2828037870719614e-15,-3.3438855820947204e-17
91,22.0,5.63175157737802e-06,549999.9999999999,550000.0,-6.5562217232981e-16,-9.603652936668982e-18
91,23.0,1.4802053796761167e-06,549999.9999999999,550000.0,-1.7231858564495536e-16,-2.5241487565788604e-18
91,24.0,3.5558546503035256e-07,549999.9999999999,550000.0,-4.139559634848877e-17,-6.063689686158775e-19
91,25.0,7.797649559495514e-08,549999.9999999999,550000.0,-9.077658829623268e-18,-1.3297092221178797e-19
126,3.0,0.07862842680881636,545.4411043902529,402.48770164902584,11.240201164509822,0.11516423646139036
126,4.0,0.10985127752750248,8722.071712331894,6987.734875375393,190.51911720267935,1.9520103192834222
126,5.0,0.13258742110330737,22301.11925735512,18393.81742921048,518.059072865936,5.307901228394352
126,6.0,0.14248163188642432,41994.132524670735,35315.56465247971,951.5732490940214,9.749576992893296
126,7.0,0.13822557694553084,67845.49385793497,57633.907716120855,1411.5023859812432,14.461893712206484
126,8.0,0.12184727019145937,102081.49755438927,87245.66741438268,1807.7054035839785,18.52128885452711
126,9.0,0.09786746134277405,147429.31724251795,127441.35966719009,1956.1706653244073,20.042426088561886
126,10.0,0.07167208294328067,202734.51534079495,178372.3307268762,1746.0885163283024,17.88997793134427
126,11.0,0.047831460013346164,254760.02858624997,234388.0423797235,974.42184362991,9.983677869330435
126,12.0,0.02905134605333233,267608.6402742434,261212.67340350556,185.81144690745336,1.9037767292322503
126,13.0,0.01603023471020368,269821.82324044476,269381.5815841814,7.0571770791104536,0.07230603776511889
126,14.0,0.008019277114018541,269999.99999999994,270000.0,-4.667833630239207e-13,-4.782543373446299e-15
126,15.0,0.003628846774097786,269999.99999999994,270000.0,-2.11226682533614e-13,-2.1641747561478795e-15
126,16.0,0.0014818449142032972,269999.99999999994,270000.0,-8.625472629229173e-14,-8.837439427687663e-16
126,17.0,0.0005447121211429955,269999.99999999994,270000.0,-3.1706418442947064e-14,-3.248558826897633e-16
126,18.0,0.0001797925599589468,269999.99999999994,270000.0,-1.0465304364854633e-14,-1.0722484134180519e-16
126,19.0,5.3151735574686346e-05,269999.99999999994,270000.0,-3.0938382012936255e-15,-3.169867771691253e-17
126,20.0,1.4037898137676042e-05,269999.99999999994,270000.0,-8.171132147356426e-16,-8.371933749252087e-18
126,21.0,3.3038885194862103e-06,269999.99999999994,270000.0,-1.9231162263815118e-16,-1.9703758731385255e-18
126,22.0,6.911818904485639e-07,269999.99999999994,270000.0,-4.023208110875938e-17,-4.1220764951897165e-19
126,23.0,1.2820813348360524e-07,269999.99999999994,270000.0,-7.46269556016226e-18,-7.646087677180589e-20
126,24.0,2.1033758009573978e-08,269999.99999999994,270000.0,-1.2243258539572112e-18,-1.2544130668774451e-20
126,25.0,3.044586888158824e-09,269999.99999999994,270000.0,-1.7721828120753774e-19,-1.8157333435193976e-21
155,3.0,0.17182138984816753,231.89810062725758,191.2420644807149,6.985576636416299,0.4718950434181514
155,4.0,0.16836674969136464,2989.856208208315,2586.870741509611,67.84935320091844,4.583411669658021
155,5.0,0.15245496466400443,7543.028939488035,6667.066106098986,133.5448828113086,9.021326592280312
