farm_id,max,mean,A,wake_pool,WCI,spacing_D,aspect_ratio,n_turb_x,pc1_share,axis_deg,ws_mean,ws_std,weibull_A,weibull_k,frac_below_rated,orient_sensitivity,gain_proxy_raw,wd_entropy_norm,exp_wake_loss,lat,lon,country,n_turb_y,n_turb,WCI_x_pool,log_n,WCI_density,ws_x_WCI,pool_density
32,3481764078.7650914,3302227161.138315,5.4368433443836075,0.10766225735545244,0.24946000000000002,4.1,1.31,589,0.743,118.5,7.0436562556446,2.9744050496800427,7.919512929014036,2.4998527084595272,0.913823337991034,0.3591670823543808,0.0567897127222745,0.0359398513330055,0.0762151578432623,21.4359,112.2209,China,128,589,0.026857426719891168,2.7701152947871015,0.0608439024390244,1.757110489533102,0.02625908715986645
33,3069739485.126888,3012228071.9855356,1.90926489518581,0.0901863419110999,0.26508333333333334,3.3,2.94,58,0.897,2.1,6.92062491406115,3.2671053705587534,7.794732076330746,2.209163089108985,0.9069899817850636,0.3928696983391085,0.0538475149125328,0.0425650788979132,0.0726543060439747,20.1389,109.2031,China,128,58,0.023906896134934064,1.7634279935629373,0.08032828282828283,1.8345423209690432,0.02732919451851512
34,6575923091.615019,6371871109.013351,3.2023871655693883,0.05017829241061349,0.26545454545454544,3.8,1.27,928,0.661,21.9,10.110272252278575,4.439568151105005,11.35395280251025,2.417398603943169,0.552488618500296,0.3609976678498316,0.0649296530770659,0.0204313976819472,0.0844256079718508,25.1304,119.3921,China,125,928,0.01332005580354467,2.967547976218862,0.06985645933014355,2.6838177251503126,0.013204813792266708
35,3758074881.6574745,3616202654.793957,3.9232377277152577,0.1536833064950906,0.2796571428571429,2.4,2.52,443,0.872,6.1,7.502463500938703,3.1557274054706568,8.430294449858001,2.509852256000695,0.8772381135064999,0.3480941972322159,0.0716533733610627,0.0327564119886019,0.1000769448126099,20.5948,110.7555,China,120,443,0.04297863439925562,2.6464037262230695,0.11652380952380954,2.098117507062515,0.06403471103962109
36,3966184406.33028,3935548386.976894,0.7784434681266643,0.1796288893534829,0.24170000000000003,4.5,1.9,156,0.835,164.0,8.727700168080958,4.345326526628898,9.848737388964217,2.1068996421307666,0.7190806915437782,0.4294944333595198,0.0779658781096236,0.0403714285821162,0.1040189964347317,50.6703,-0.2781,United Kingdom,117,156,0.04341630255673682,2.1931245983544616,0.05371111111111112,2.109485130625168,0.03991753096744064
37,3049096267.4987426,3009857262.0068316,1.303683267217403,0.1325486905365939,0.2685666666666667,5.4,3.54,38,0.952,170.3,6.577174421150536,2.8936817461888786,7.410386058837082,2.4001681894157265,0.9306985615190757,0.3625771739440041,0.0671978350366042,0.0358319474369589,0.0950580903187736,30.6253,121.57,China,116,38,0.03559815998844457,1.5797835966168101,0.049734567901234567,1.7664098103736623,0.024546053803072943
38,3773284763.2447376,3693296459.754854,2.1657699120961635,0.15449318010686588,0.2586,2.7,1.55,134,0.886,151.1,7.624270810235052,3.4555972654191662,8.598617562233365,2.335895473305382,0.8343877807946974,0.3676755805396694,0.0595883308494744,0.0346783154557825,0.0801653053976014,30.7484,121.983,China,115,134,0.039951936375635516,2.1271047983648077,0.09577777777777777,1.9716364315267842,0.05721969633587625
39,4180714161.271755,4079870850.208958,2.4717280219208946,0.06288860338614706,0.1784,5.3,1.73,55,0.881,65.4,8.344725199044762,5.219128515581758,9.321786679713885,1.6335797856895433,0.7102327394765078,0.3666517273597818,0.06373482983483,0.0605902998018134,0.0857520608814398,23.9706,120.158,Taiwan,114,55,0.011219326844088636,1.7403626894942439,0.03366037735849057,1.4886989755095854,0.011865774223801332
40,5249819082.46652,5227315485.983239,0.4305000634383614,0.03960139098210218,0.22910000000000003,3.3,1.12,32,0.563,13.9,9.648638519959006,4.594732033446696,10.86543798049138,2.2068420213043494,0.6169787222097463,0.3834848455526393,0.0757320143029871,0.0343416550966659,0.1001760108747685,56.5947,-1.6988,United Kingdom,114,32,0.00907267867399961,1.505149978319906,0.06942424242424243,2.2105030849226086,0.012000421509727932
41,3867794670.808301,3741124963.403196,3.385872127882017,0.0921821472727432,0.23647500000000002,3.4,3.09,118,0.918,7.3,7.766421711530695,3.5869219017131897,8.754121615210117,2.2910632065574035,0.8031798163535195,0.4121018958245741,0.0765253761973678,0.0465140729529911,0.1013972204510815,23.243,117.0232,China,113,118,0.02179877327632195,2.0718820073061255,0.0695514705882353,1.8365645742342211,0.027112396256689177
42,5427369209.097332,5192014942.475583,4.533004415999054,0.019472137483144764,0.22416666666666665,3.3,1.05,115,0.876,136.9,10.636641672757476,6.1579313136817575,11.91537040368241,1.75129608169272,0.554346736698522,0.3390868881370872,0.0559622333369394,0.0581347601168249,0.0820899122712516,24.1616,119.9117,Taiwan,111,115,0.004365004152471617,2.060697840353612,0.06792929292929292,2.3843805083098006,0.0059006477221650805
43,4322877024.256582,4298635920.769851,0.5639254855151851,0.10223839482840057,0.22328333333333336,2.0,2.05,74,0.831,100.8,9.206419239343122,4.1719217716648584,10.369997079924339,2.338161547247065,0.6630767307024886,0.3716774388267768,0.0636759957253687,0.0615825103196533,0.0966122047200104,56.6015,11.2166,Denmark,111,74,0.02282812959193471,1.8692317197309762,0.11164166666666668,2.0556399758246635,0.05111919741420028
44,3040376723.7483416,2996201454.9683065,1.474375786941279,0.10516409402593363,0.28574,3.9,1.16,40,0.818,128.3,7.21671046776576,3.632800122815867,8.145501700523367,2.0838420798250756,0.8482818491071354,0.4058077298013738,0.067352495195926,0.0540120488945232,0.0871131208796125,38.2743,118.942,China,108,40,0.030049588226970275,1.6020599913279623,0.07326666666666666,2.0621028490593885,0.026965152314341958
