lon,lat,A_pred_pct
0.0,41.0,1.714052345431914
1.0,41.0,1.7273201523718331
2.0,41.0,1.7524839080831658
3.0,41.0,1.7467951357981004
4.0,41.0,1.7389960308457504
5.0,41.0,1.716657583812552
6.0,41.0,1.7224074743883977
7.0,41.0,1.7338516499279417
8.0,41.0,1.7877026458953984
9.0,41.0,1.7886122467840957
12.0,41.0,3.4036964443551794
13.0,41.0,3.7747456961305437
14.0,41.0,4.212501198631329
15.0,41.0,4.3987444560017455
16.0,41.0,4.569175517699116
17.0,41.0,4.7468904078331695
18.0,41.0,4.624707840236826
19.0,41.0,4.4579771393388965
20.0,41.0,4.313632288562687
21.0,41.0,3.7719873673425446
22.0,41.0,3.6217774478250755
113.0,41.0,2.0021466001139068
114.0,41.0,1.9995861399889043
115.0,41.0,1.9847771659874767
116.0,41.0,1.958769305094182
117.0,41.0,1.9854287123935743
118.0,41.0,1.9792134686203537
119.0,41.0,1.976889664081895
120.0,41.0,3.502581257476184
121.0,41.0,3.0729105550656213
122.0,41.0,3.4304911119508747
123.0,41.0,3.425039695254843
124.0,41.0,3.4211683938845483
125.0,41.0,3.3977596863790365
126.0,41.0,3.3575866659600853
127.0,41.0,3.3429075403452315
128.0,41.0,3.016093256380545
135.0,41.0,3.054419644063627
136.0,41.0,3.0878952745444495
137.0,41.0,3.086776302879939
138.0,41.0,3.06468334707826
139.0,41.0,3.3400336424726476
140.0,41.0,3.4093378206486578
141.0,41.0,3.205289744340851
142.0,41.0,3.211948189865321
143.0,41.0,3.239463374280425
144.0,41.0,3.22654845559291
-76.0,42.0,0.6181015734479327
-75.0,42.0,0.6128974882601432
-74.0,42.0,0.6061471338083373
-73.0,42.0,0.6061471338083373
-72.0,42.0,0.5963009853032453
-71.0,42.0,0.6061471338083373
-70.0,42.0,0.6570074259324883
-69.0,42.0,0.6510908562881035
-68.0,42.0,0.6570074259324883
-67.0,42.0,0.6570074259324883
-66.0,42.0,0.6570074259324883
-65.0,42.0,0.6540918053741672
-14.0,42.0,2.0177274996760186
-13.0,42.0,2.0516462842684065
-12.0,42.0,2.0498202757652253
-11.0,42.0,2.0659948249549194
-10.0,42.0,2.0659948249549194
-9.0,42.0,2.069528162907842
-8.0,42.0,2.0659948249549194
-7.0,42.0,2.0659948249549194
-6.0,42.0,2.025060414535359
-5.0,42.0,1.893601710736561
-4.0,42.0,1.854091904509213
0.0,42.0,1.714052345431914
1.0,42.0,1.7292703500427455
2.0,42.0,1.7495398275580845
3.0,42.0,1.729756850687881
