farm_id,theta_deg,state,upstream_turbine_index,downstream_turbine_index,upstream_alongwind_D,upstream_crosswind_D,downstream_alongwind_D,downstream_crosswind_D,pair_velocity_deficit_pct
2,140.0,bad,241,47,43.00770495099433,18.223552132107507,73.10160299874335,17.152254402898834,3.6333424971178587
2,140.0,bad,245,47,40.73221224497667,18.217576357046916,73.10160299874335,17.152254402898834,3.2535573296409317
2,140.0,bad,248,47,30.109607184618334,18.182240529436907,73.10160299874335,17.152254402898834,2.0798994929715824
2,140.0,bad,258,47,33.902358546045576,18.222529151011784,73.10160299874335,17.152254402898834,2.4129372900928137
2,140.0,bad,259,47,36.19177530119023,18.203267980352315,73.10160299874335,17.152254402898834,2.654209666085631
2,140.0,bad,269,47,38.45613654113182,18.25000988875652,73.10160299874335,17.152254402898834,2.9302735993172173
2,140.0,bad,49,48,67.54066639659385,24.269023578786925,70.79092656091294,23.34117527377059,4.682684210447855
2,140.0,bad,63,48,61.29216977337489,22.211633590092035,70.79092656091294,23.34117527377059,4.059268709737479
2,140.0,bad,72,48,56.86403737184855,23.1367781684069,70.79092656091294,23.34117527377059,10.20211995091043
2,140.0,bad,235,48,28.97537928777008,21.26804276390224,70.79092656091294,23.34117527377059,2.175418026406323
2,140.0,bad,236,48,36.172189135342734,24.64200635190423,70.79092656091294,23.34117527377059,2.9337854349903743
2,140.0,bad,238,48,40.72911580179836,24.65630601997882,70.79092656091294,23.34117527377059,3.639165039629332
2,140.0,bad,242,48,31.652377246489856,24.666761239357847,70.79092656091294,23.34117527377059,2.4189018133864852
2,140.0,bad,246,48,35.07062009879716,21.438491796176002,70.79092656091294,23.34117527377059,2.5921655269638624
2,140.0,bad,247,48,32.78591764209324,21.421491639657457,70.79092656091294,23.34117527377059,2.521505593326462
2,140.0,bad,253,48,27.80069989857234,24.440553445820804,70.79092656091294,23.34117527377059,2.080038375914962
2,140.0,bad,256,48,41.85843522941153,21.473424268672026,70.79092656091294,23.34117527377059,2.2075590175254236
2,140.0,bad,263,48,33.9132256634238,24.681546488395437,70.79092656091294,23.34117527377059,2.65784894366155
2,140.0,bad,264,48,38.45828788357224,24.666771102234645,70.79092656091294,23.34117527377059,3.259209086644161
2,140.0,bad,266,48,37.3216985067124,21.43584888169611,70.79092656091294,23.34117527377059,2.4976403012380275
2,140.0,bad,272,48,39.6109994686204,21.43165437102718,70.79092656091294,23.34117527377059,2.2860067171068734
2,140.0,bad,556,48,45.47993411599155,23.9201742922304,70.79092656091294,23.34117527377059,4.684282235088813
