farm_id,year,country,P00_kWh,P10_kWh,P01_kWh,P11_kWh,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,P11_err_pct
10,2021,United Kingdom,7976596369.320282,7691572278.909964,7887587137.0517,7688559569.505647,7688559569.505647,8426467640.686092,0.5233110744592446,0.0875702729359041,0.0
11,2021,Germany,8562689322.843264,8424147764.405443,8358485596.443785,8413650407.12335,8413650407.12335,9990940692.833488,0.4919757035020577,0.1578720497101467,0.0
13,2021,United Kingdom,6542864801.631735,5851485363.994432,6359686005.078352,5869949294.55784,5869949294.55784,7774940130.631114,0.3521941401203494,0.2450167852184657,0.0
9,2021,United Kingdom,9667731171.137096,8787581685.885757,9287644712.800035,8775133426.874964,8775133426.874964,10623836038.84621,0.4248955173296613,0.1740146031255978,0.0
7,2021,Netherlands,11733501161.394785,11238667988.401669,11440862109.852377,11212477935.503592,11212477935.503592,13263476404.339424,0.4803571737550571,0.1546350599428671,0.0
5,2021,United Kingdom,14851710792.042871,14160016785.141647,14673198079.649937,14155154792.079172,14155154792.079172,15183764017.545397,0.5187356544711985,0.0677440208025906,0.0
2,2021,Belgium,20881809216.080887,21235479635.190662,20601984417.29011,21254596830.770126,21254596830.77013,26081809060.09065,0.4505685227086207,0.1850796552570017,1.7947634085923896e-14
93,2022,United Kingdom,90468268.929112,98818204.620723,91728187.495893,98820425.742238,98820425.74223804,99289901.84422232,0.601683059804177,0.0047283368526324,4.523708863403096e-14
170,2022,Portugal,91768579.243179,94889676.082899,91927499.720619,95518494.313793,95518494.3137932,97067488.56420696,0.4313126267217249,0.0159579100410037,2.0280375744160616e-13
161,2022,United Kingdom,228136761.556597,246415205.056522,230610243.670487,246409072.042509,246409072.04250905,253153296.2480277,0.610754918930497,0.0266408705929353,2.4189306132814778e-14
162,2022,United Kingdom,191488669.414918,200931900.474746,195497337.348375,201288107.499312,201288107.4993115,208353895.6275558,0.5010282700667368,0.0339124358916464,2.516986656017685e-13
163,2022,Sweden,170870603.057535,176717970.283956,171243972.479005,176305326.241706,176305326.24170607,206935922.39427635,0.4366695386791481,0.1480197144998808,3.3807625694572345e-14
164,2022,United Kingdom,245100824.654394,256140517.416798,246463476.506048,255436230.813647,255436230.81364715,262960375.66135415,0.6184896629870391,0.0286132267220243,5.833613010332415e-14
157,2022,Denmark,247867111.726573,255356016.382559,249693944.412399,254068332.357058,254068332.35705847,285656462.9713825,0.4561452312556032,0.1105808364556015,1.8768067384840204e-13
158,2022,Ireland,266501896.124665,268151437.797659,270992410.290817,272051557.631255,272051557.63125503,289272537.12867063,0.4893541706501691,0.0595320235662591,2.190931942987812e-14
127,2022,Sweden,391799202.84777,404085282.854652,387167540.210413,402722345.826677,402722345.8266768,419775972.2155477,0.5548974121289088,0.0406255419977067,5.920172584716043e-14
155,2022,Italy,134422442.73293,129011024.078643,139260545.574802,131527746.474466,131527746.4744658,164808012.19306928,0.2427203795502145,0.2019335424033652,1.4728078349432263e-13
152,2022,Denmark,409542194.61098,424385255.336482,414495085.645003,426060723.587254,426060723.5872537,464564449.2891383,0.5149392356626223,0.0828813435053021,6.99485325396159e-14
153,2022,Denmark,251512878.941454,255821021.369361,259836363.553636,260970970.192195,260970970.1921947,390064763.3743112,0.3267855875184006,0.3309547677810528,1.1419784493940875e-13
154,2022,Denmark,387569353.229147,402902715.735201,397017705.454091,411353127.003797,411353127.0037965,448567350.2498426,0.512334197289571,0.0829623984565942,1.1591917671230542e-13
148,2022,Finland,355160620.628802,368499657.501256,355838173.537287,368412427.695308,368412427.695308,421735214.3699445,0.411702997927371,0.1264366475877492,0.0
149,2022,Sweden,289956823.458591,283016013.74119,293701791.702907,291354099.146254,291354099.1462543,350785578.474679,0.3372817558388274,0.1694239529083567,1.0228901009123988e-13
150,2022,United Kingdom,412418597.916514,427904901.975536,414224487.975697,427215115.293826,427215115.2938257,471360511.7704133,0.4834773777416177,0.0936552710170375,6.9759522359592e-14
144,2022,Sweden,605130308.380915,615040277.740365,612947523.820669,623872323.847934,623872323.8479342,688973093.6075634,0.4784296962024035,0.0944895676821746,3.821592495577282e-14
142,2022,Germany,591475677.504479,597218537.695749,586332080.57191,596449813.692908,596449813.6929076,746495304.1795144,0.4034591593901995,0.2009999120510535,7.994589775303925e-14
137,2022,Germany,707701439.009312,724936086.720517,702015469.717152,728537732.892734,728537732.8927337,838853064.933089,0.4351219490140735,0.1315073362092974,4.908844834053353e-14
128,2022,United Kingdom,838250137.283616,840222019.105977,850587368.057328,846670951.669425,846670951.6694245,1175200709.1625628,0.3849519199013488,0.2795520415633901,5.631906436177132e-14
121,2022,Germany,1141662255.126899,1154122642.182315,1160777045.44122,1170713864.279522,1170713864.2795217,1429572393.0540009,0.4750309857088747,0.181074096024951,2.0365230683271147e-14
122,2022,United Kingdom,903283769.195128,930859558.659758,918394672.222785,936535429.049205,936535429.0492046,1309520666.614987,0.382337386833723,0.2848257740978775,3.8186261572124076e-14
123,2022,United Kingdom,1000279505.228577,1029386581.601939,979934931.513129,1021569947.538939,1021569947.5389388,1277623558.2663198,0.4353404702714304,0.2004139709781453,2.333844879402884e-14
116,2022,United Kingdom,1394412888.911798,1470811674.131732,1414992168.57218,1469036791.696596,1469036791.6965957,1609706489.8825593,0.5146839946383799,0.0873884146396319,1.6229585293518214e-14
113,2022,Netherlands,1268925299.748559,1256857034.240673,1250031147.345836,1249543223.323846,1249543223.323846,1463806389.3895166,0.4285127652002216,0.1463739792494206,0.0
102,2022,United Kingdom,1292828026.507799,1264677580.065974,1300751136.672972,1274537442.740271,1274537442.7402709,1651268231.0331812,0.3510107111552501,0.228146330930859,1.8706282852621393e-14
