farm_id,n_years,country,G_mean,G_ew_mean,M_S_rms,M_S_mae,M_S_std,M_S_mean,M_D_rms,M_D_mae,R_i,H_i,P11_median_err
63,9,China,0.37554777419483404,0.49887563619477227,5.015799813947006,3.794552158391072,5.077787971993598,-1.4963950924410336,1.3788996554299837,1.1568979353365647,0.07487295907435947,0,2.1754068153615788e-14
64,4,Vietnam,0.0,0.0,8.925243554036077,8.443846033905494,9.644917778663164,-3.1450982943276946,1.0866188413658415,0.9317521637255559,0.0,0,2.626362215606009e-14
65,9,Netherlands,0.3707768966363945,0.37792367290929363,2.9874787607493674,2.714608620542428,2.789232872685991,1.4176155241492268,0.5688550017491939,0.48676943021102176,0.12411030381464212,0,0.0
66,5,China,7.76323244569124,8.518031026786787,9.863019196976389,9.28612190807878,3.71602737951163,-9.28612190807878,4.79292191493601,4.672198918560113,0.7871050730663831,0,1.3322767870477272e-14
67,11,United Kingdom,2.1023300410163497,2.1076483558032173,4.875776677411883,4.0964360009933465,4.476646840261831,2.356837460428466,0.9356649896423174,0.8368038045584676,0.43117849321439594,0,1.8439347228879316e-14
68,11,Denmark,0.0,0.0,3.5256673318864045,3.221819159362842,2.865029236855308,2.2289358693430343,0.7693198728593731,0.6662468151975497,0.0,0,1.2566806847424646e-14
69,2,France,0.41392567184711154,0.4670076000597986,9.501843912520656,8.015968399274572,7.215162972481955,8.015968399274572,1.1462334365438176,0.9389794987022111,0.04356266801032991,0,9.010205826141994e-15
70,3,China,0.011600420968247685,0.014331667359460763,6.530855213545909,5.707998911356907,3.8866730467550554,5.707998911356907,0.3394968603157301,0.28205073495454086,0.0017762483761983863,0,1.47445353929626e-14
71,9,Taiwan,1.8712587879098694,1.7014731096504325,6.68231463508099,5.810188333377913,3.500988498197172,5.810188333377913,4.966114744249607,4.792814096291561,0.280031529507169,0,2.7866306813906925e-14
72,7,China,-8.948948863199016e-05,0.00046114679143373014,5.6302344779954066,4.928357950719845,5.991723124961806,0.9630536183890059,0.8310593326250756,0.7720871932490947,-1.589445146232206e-05,0,2.211361126974345e-14
73,8,United Kingdom,-0.3238081846525243,-0.3230447048261281,6.248941216025865,5.6535218702640755,2.8459408253646576,5.6535218702640755,0.7501666088189872,0.6660337506008351,-0.051818087810154886,0,0.0
74,8,China,0.2855959834509226,0.2997044369674356,4.794336969231589,3.8130192838816983,5.039405706916384,-0.874361670306967,2.9020269597887336,2.4742952486588785,0.05956944313338418,0,1.1950829594753705e-14
75,2,France,0.40333055145983143,0.4126140620728195,7.856905738450109,5.9854890536126,8.46475979705464,5.089684525780944,2.2498627295510527,2.215858887695625,0.051334528488233375,0,5.806647360215463e-15
76,3,China,0.8976929168570837,0.89334539462298,2.9695596802632673,2.741326585397786,2.780062029567896,1.9146247941781784,2.2142445282024585,2.127399973744888,0.3022983248403677,0,1.584453483466481e-14
77,1,China,1.2769967952865637,1.2769967952865637,3.7461076453300137,3.7461076453300137,,3.7461076453300137,5.952697819857258,5.952697819857258,0.3408863055172742,0,4.8944712926567464e-14
78,5,China,0.7116664162932598,0.7088343512192063,2.097563299381906,1.680722284655441,2.340262499147738,0.13531054275308246,1.6134512985330605,1.3250491746901192,0.3392824505000484,0,1.5757865092780796e-14
79,2,China,0.10526981818343795,0.281493549482632,6.680882499284318,6.6700370014470955,0.5381400720446422,6.6700370014470955,2.0093887338289886,1.8743991482312414,0.0157568731667882,0,2.7593299346949345e-14
80,8,United Kingdom,-0.03336454004195915,-0.04411562996465827,5.553559262914892,4.997233844618824,4.817519247822216,3.245703351580741,0.7282457762063358,0.5573274822649983,-0.006007775997774647,0,8.998113146143374e-15
81,8,China,0.5399296289422302,0.6084645747192764,3.188645833269618,2.7679441862327003,3.217202737302356,1.053977219267641,1.7706181299923778,1.6637334948061566,0.16932881767825236,0,1.9239594791754812e-14
82,4,China,-0.1701477373801121,-0.16841959960612177,4.723952236274205,3.5980676684182606,4.799290959456787,2.245179156650383,1.261045752571179,1.0524916840797465,-0.03601809012241582,0,6.758962236163893e-15
83,11,United Kingdom,1.3425671739257672,1.3248280815379,7.228140901706038,5.864009382838338,7.4543581109540105,-1.3153527484227188,1.8258031945761835,1.4790446032893778,0.18574169930872333,0,2.8312423157601478e-14
84,11,United Kingdom,1.69586073439338,1.6218330112517105,5.08231973376797,3.952505719574029,5.254658098187144,-0.85362304594663,0.9907793481358981,0.7363831672341501,0.3336784821162933,0,1.2503097266361415e-14
85,2,China,2.9830746832063917,3.0013005267382713,1.902083129367988,1.8892167027075417,2.671755883230785,0.220863037281393,4.695416777686814,4.694753047818992,1.5683198263777192,1,1.9823434824161836e-14
86,4,Vietnam,1.7313394255582655,2.510183244755263,8.630569530711934,6.882796965615975,6.012635179859244,6.882796965615975,1.0890686531168758,0.9073100949455235,0.20060546634811105,0,1.1043995096800568e-14
87,11,United Kingdom,0.2876898339237953,0.2776420994902642,7.264898203420775,6.517107879926095,3.3669950796249712,6.517107879926095,0.6448102684152863,0.5186011088364043,0.039599981426901854,0,1.8545891936370686e-14
88,11,China,1.1476052391964293,1.2236087827414546,10.778360118634438,9.144940904839759,7.879808887129221,-7.7282812057101316,1.4450086126805934,1.2701126618897667,0.10647308371264783,0,2.1820023572819316e-14
89,11,China,0.7994665232810413,1.0184267344409146,5.997841401673641,3.931483748479104,6.091442157630988,-1.4972229043463983,0.957956287326204,0.7814924895236012,0.1332923746629842,0,2.6175516182238536e-14
90,4,China,1.8409063802084358,1.800431145868668,5.258960644921949,3.8583796320267054,5.954904495311523,1.0300492238853585,1.8764137065688862,1.6452111214789769,0.35005137031896494,0,3.2298859338362355e-14
91,5,China,6.616506698226263,6.5930667238773655,7.44024762837805,6.133734488825295,5.817726290349386,5.317944473200832,4.322116400138362,3.7873408792702277,0.889285817986765,0,2.0267477796775955e-14
92,6,China,3.7554806515698496,3.7125091781120907,7.4623467246019475,5.376886348977749,5.668408435709707,-5.376886348977749,1.389413966178892,1.2034710713367736,0.5032573250970421,0,2.1400833318334548e-14
93,4,United Kingdom,0.10642055763048905,0.2103484378984082,5.093289066683896,4.57028652323587,5.5440343757941255,1.699810473791564,0.6279735241468372,0.5545877724791833,0.020894270134127025,0,4.076177962889045e-14
94,3,China,0.0,0.0,5.782355323651448,4.810005157409537,3.9305502429024908,-4.810005157409537,0.7880174331856862,0.7342875857142622,0.0,0,1.7847117431363332e-14
95,2,Sweden,0.01615928312768842,0.033097368525243705,6.223822155696907,6.223604015551292,0.07369237894835885,6.223604015551292,0.4490535985064591,0.4024444247521035,0.002596360037842212,0,1.2259456485800053e-13
96,11,United Kingdom,1.477461809041482,1.49074558806926,6.404070412519391,4.802425931877705,4.595239185317293,4.670712079552108,0.7009685705991809,0.6031826827411788,0.23070667776437542,0,1.518850732513138e-14
97,11,China,3.1390904399711617,3.3178525999059856,6.864567045722305,5.583154063681565,5.508209311096923,4.42042151248904,1.7619131636409937,1.4732415012647488,0.45728891845077163,0,4.6203287486868564e-14
98,7,China,0.0,0.0,10.785213861225742,8.739216181622707,9.842795320783331,-5.768908634910636,1.6307036844696021,1.4778233927423379,0.0,0,3.759479894783681e-14
99,11,Sweden,1.2381135766753115,1.2193747557259658,7.541063390295331,6.74940184106178,7.1557923409240916,3.2120563698877116,1.3332201448906016,1.1793579368086287,0.1641828894143301,0,4.0026803879459197e-14
100,11,Netherlands,2.1542846201614,2.161879900533668,4.63944627032568,3.4625480115489626,4.762917628278616,0.9494129913677053,2.193666253190758,1.803647633299424,0.46434089213197716,0,1.7067890785568018e-14
101,11,China,-0.021743982118893886,0.02782145028010781,3.304821510432057,2.9511275729396034,3.4657805246281606,-0.046662156206437426,1.7221468988867257,1.5926165125258434,-0.006579472461752157,0,2.136156902666438e-14
102,11,United Kingdom,1.3694391576474294,1.3819587768358106,5.443918443789263,3.9190569702596076,5.315139507793022,1.9884129892933473,1.4026220533600549,1.251698807331062,0.25155394442210366,0,1.7674804927562316e-14
103,4,China,2.8919263780627364,2.9035454827547835,5.948798943087569,5.055464420637302,6.842007826021874,-0.5276414945503785,4.371500955111851,3.830960844327025,0.4861361773578042,0,0.0
104,2,China,0.8344573116161396,0.8307364417736732,4.607958080673672,3.559918545148433,4.137694436556198,-3.559918545148433,0.6312717962568116,0.463327197639669,0.18109047369939268,0,2.57318027834047e-14
105,2,China,2.7844732530806837,2.793551746663466,1.83061338028383,1.3113171203480103,1.8544824561681883,1.2773381533315258,5.873005131977139,5.84346286253373,1.521060253940109,1,3.0700494418062855e-14
106,1,China,0.028743485754289276,0.028743485754289276,5.256274503844057,5.256274503844057,,5.256274503844057,2.7300438629883352,2.7300438629883352,0.005468414127395436,0,0.0
107,5,Vietnam,2.641679307334303,3.1774340985018457,9.899725312250286,8.48431075937532,5.703182466434553,8.48431075937532,1.4504036414795716,1.1872579431534156,0.2668436975786986,0,3.8422444111414136e-14
108,3,China,-0.1556075298233697,-0.15933694110698235,5.703447759238354,4.6933813523333106,3.9689081289312327,-4.6933813523333106,1.6318089680360774,1.5588783263798136,-0.02728306392766009,0,2.441389330353786e-14
109,11,China,0.48248411584341944,0.49144971665202475,7.094040840407939,5.774190944013437,7.42686942024992,-0.42594024812491343,1.3222858667367547,1.0441858179978303,0.06801259348482612,0,3.4014102780258514e-14
110,3,China,1.4693223374819986,2.0518973915013765,5.309775648849169,4.780576720506197,2.8301423092662215,4.780576720506197,2.9615253617196067,2.8064278415760833,0.27672022975216604,0,4.729949030194533e-14
111,5,China,2.3677831894519628,2.9032152179033766,4.666826888920913,3.4014081928157003,5.143985402148074,0.7815398627998864,2.045326541900896,1.8952230313527374,0.5073646925008297,0,2.2989830219903586e-14
112,5,Vietnam,0.740149682039027,0.892970153784911,10.055619279900748,8.683252975118108,5.669721870649186,8.683252975118108,3.5061517209863533,3.0991220229157093,0.0736055792723223,0,0.0
113,11,Netherlands,0.029940504672049652,0.041986788386925246,5.515034959022324,4.536801026177636,4.340025739808587,3.6458380052977883,0.8917589833974718,0.7596633858885018,0.005428887558195523,0,1.657250671181836e-14
114,2,China,0.7947635117002094,0.7950884836423248,2.9026626049610327,2.6094832391299523,1.7978027828096277,2.6094832391299523,0.4344940642313372,0.3550580904119326,0.27380499212752246,0,1.0407040375706832e-14
115,5,Vietnam,0.8998011167424904,1.14440989196975,6.112845139163886,5.192691616888582,6.143150422332287,2.6788501276253713,2.7956024009033436,2.4387971874623102,0.1471984151827483,0,3.1671262688194535e-14
