farm_id,R1_f,R2_f,R1_e,R2_e,ws_mean,disp_f,n_turb,cent_lon,cent_lat,pc1_angle,axis_bearing,pc1_share,aspect_ratio,nn_mean_m,nn_med_m,spacing_D_mean,spacing_D_med,ce_r,n_comp,layout_type,last_year,country,region,A_para,A_real,corr,is_corr
41,0.4458576701393019,0.5985766170933247,0.706567630173494,0.8072453516595812,8.200045820679366,0.5541423298606981,102,117.0248165,23.232717,38.39,51.61,0.8077,2.05,690.6,689.9,3.488,3.484,1.263,2,multi_cluster,2024,China,east_asia,2.2879903,3.5959558024822043,other,False
42,0.4114361101258669,0.8652497916580902,0.8280534761334012,0.9599655005681904,11.20262968989104,0.5885638898741331,111,119.921352,24.157376,172.43,97.57,0.895,2.919,507.6,499.6,2.564,2.523,0.968,5,multi_cluster,2024,Taiwan,east_asia,1.7719945,4.268885625046844,other,False
43,0.2927965315876865,0.15407715002840994,0.40965496690529696,0.21559809436428218,9.576583034491927,0.7072034684123135,111,11.210169,56.594379,102.83,167.17,0.8667,2.55,725.8,695.8,3.666,3.514,1.402,1,belt,2024,Denmark,europe,0.2024669,0.8110348485532972,other,False
44,0.13011050269265587,0.09220691779828025,0.07644402421819585,0.2102727525815945,7.531562871688684,0.8698894973073441,108,118.9520835,38.2729225,172.19,97.81,0.9687,5.561,628.9,574.3,3.176,2.901,1.066,5,multi_cluster,2024,China,east_asia,0.3659906,1.845038184200798,other,False
45,0.4370152710811307,0.8602226780514892,0.7104608426832719,0.9352700088153191,10.56777768730913,0.5629847289188693,106,119.549318,25.2552455,6.61,83.39,0.7643,1.801,410.1,394.0,2.071,1.99,1.079,2,multi_cluster,2024,China,east_asia,2.1166852,4.046158566660509,other,False
46,0.4425558115539181,0.819106012050666,0.5676177035821576,0.9008996156500553,10.757732785201432,0.5574441884460819,105,119.992184,25.818784,72.18,17.82,0.8578,2.456,617.4,620.5,3.118,3.134,1.244,2,multi_cluster,2024,China,east_asia,1.5367049,2.781769307034277,other,False
47,0.4692599517752957,0.4603028786507718,0.664843430205129,0.5998516914735362,7.664146914240452,0.5307400482247042,104,114.9443935,22.305439,16.7,73.3,0.8233,2.159,807.8,782.3,4.08,3.951,1.256,3,multi_cluster,2024,China,east_asia,2.0171506,3.133749548772874,other,False
48,0.2678482481736774,0.20810111983525392,0.5080281784677044,0.35587132362027746,9.888037743824727,0.7321517518263225,102,2.5039695,52.233097,81.46,8.54,0.8517,2.397,734.3,740.5,3.708,3.74,1.247,1,belt,2024,United Kingdom,europe,0.40983877,1.0038244032704038,other,False
49,0.26292701958736153,0.2592840034757958,0.4900656291431068,0.40845482872935,9.440885144433583,0.7370729804126385,101,1.633079,51.431334,142.37,127.63,0.7479,1.722,469.4,476.8,2.371,2.408,1.819,1,rule_grid,2024,France,europe,0.53606254,1.774712494702533,other,False
50,0.18757443954701286,0.1313739573797591,0.19548808968720852,0.2503359225616791,7.204156052608606,0.8124255604529871,100,120.362833,34.510617999999994,6.0,84.0,0.7564,1.762,699.6,693.3,3.533,3.501,1.29,2,multi_cluster,2024,China,east_asia,0.64799887,2.043657282235818,other,False
51,0.28353621757901376,0.16690437903908337,0.4765707889767313,0.28613932041754364,9.626706403705581,0.7164637824209863,91,0.839748,53.272234,129.1,140.9,0.8619,2.498,838.7,836.7,4.236,4.226,1.861,1,belt,2024,United Kingdom,europe,0.26666322,0.3456222818808866,other,False
52,0.4489522932181838,0.8308027930503077,0.5860930238147614,0.9080672159450526,9.960850465213626,0.5510477067818162,90,119.7655905,25.6745015,157.9,112.1,0.9156,3.294,397.9,337.2,2.01,1.703,0.713,9,multi_cluster,2024,China,east_asia,2.105944,5.4764089983948665,other,False
53,0.28587056969831437,0.14325369883563338,0.474656532681848,0.2553092927806414,9.68951781214013,0.7141294303016856,90,0.8427925,53.4772775,145.99,124.01,0.804,2.025,993.4,992.3,5.017,5.012,1.639,1,cluster,2024,United Kingdom,europe,0.22179689,0.34868193946172144,other,False
54,0.24256204125095326,0.1477047889993743,0.5172819344373172,0.2856691665961121,9.399007061402134,0.7574379587490467,89,5.263798,53.001633,103.31,166.69,0.5221,1.045,659.7,657.1,3.332,3.319,2.18,1,rule_grid,2024,Netherlands,europe,0.29466137,0.27795868806799395,other,False
55,0.2771691653965794,0.14058080975304002,0.4770203438913049,0.2531667144236412,9.821586028868538,0.7228308346034207,88,1.1474069999999998,53.135955,139.17,130.83,0.8455,2.34,645.6,643.3,3.26,3.249,2.132,1,rule_grid,2024,United Kingdom,europe,0.32553092,0.5559021378948397,other,False
56,0.2923304282589198,0.47168650050394945,0.4552501221997956,0.7785026786224336,7.467747017443442,0.7076695717410801,83,108.208164,21.339756,62.18,27.82,0.7056,1.548,707.1,687.1,3.571,3.47,1.474,1,cluster,2024,Vietnam,east_asia,3.333206,3.1067503150542697,Vietnam,True
57,0.19627801993278512,0.5990274497692126,0.340218548321117,0.794017397902032,6.038367852894496,0.8037219800672148,80,105.8074895,9.2222045,27.25,62.75,0.7225,1.614,354.1,246.6,1.788,1.245,0.864,13,multi_cluster,2024,Vietnam,east_asia,3.6643736,15.790969504033365,Vietnam,True
58,0.223485526769507,0.21561927782122361,0.45266394724692327,0.36653633671484875,7.961463713275072,0.7765144732304929,81,-2.611608,47.157816,165.43,104.57,0.8239,2.163,1047.2,997.8,5.289,5.04,1.81,2,multi_cluster,2024,France,europe,0.5345729,0.35864103438295053,other,False
59,0.25258836640774784,0.14123307591341688,0.4126548029382828,0.1668787432218309,10.243898705957472,0.7474116335922522,80,7.840513,55.4864635,169.98,100.02,0.6259,1.293,555.2,555.7,2.804,2.807,2.238,1,rule_grid,2024,Denmark,europe,0.37356508,0.7415164928948403,other,False
