farm_id,n_years,country,G_mean,M_S_mean,M_S_std,M_S_rms,M_D_rms,R_std,R_rms
93,4,United Kingdom,0.10642055763048902,1.6998104737915642,5.544034375794126,5.093289066683897,0.6279735241468374,0.019195508255708708,0.020894270134127018
94,3,China,0.0,-4.810005157409538,3.930550242902492,5.782355323651449,0.7880174331856865,0.0,0.0
95,2,Sweden,0.01615928312768845,6.223604015551292,0.0736923789483598,6.223822155696907,0.449053598506459,0.21928024794819187,0.002596360037842217
96,11,United Kingdom,1.477461809041482,4.670712079552107,4.595239185317293,6.404070412519391,0.7009685705991809,0.3215201101527571,0.23070667776437542
97,11,China,3.139090439971161,4.420421512489039,5.508209311096923,6.864567045722305,1.7619131636409935,0.569893092778283,0.4572889184507716
98,7,China,0.0,-5.768908634910636,9.842795320783331,10.78521386122574,1.630703684469602,0.0,0.0
99,11,Sweden,1.2381135766753115,3.212056369887712,7.155792340924092,7.541063390295331,1.3332201448906016,0.1730225693658716,0.1641828894143301
100,11,Netherlands,2.1542846201614,0.9494129913677054,4.762917628278616,4.63944627032568,2.193666253190758,0.4523035643889538,0.46434089213197716
101,11,China,-0.021743982118893956,-0.04666215620643746,3.46578052462816,3.304821510432057,1.7221468988867257,-0.006273906257011714,-0.0065794724617521776
102,11,United Kingdom,1.3694391576474296,1.988412989293347,5.315139507793022,5.443918443789263,1.4026220533600549,0.2576487702043506,0.2515539444221037
103,4,China,2.8919263780627364,-0.5276414945503787,6.8420078260218755,5.94879894308757,4.371500955111851,0.42267218214279345,0.4861361773578041
104,2,China,0.8344573116161396,-3.5599185451484328,4.137694436556197,4.607958080673671,0.6312717962568116,0.20167204814443918,0.1810904736993927
105,2,China,2.7844732530806837,1.2773381533315264,1.8544824561681874,1.83061338028383,5.873005131977139,1.5014826610083354,1.521060253940109
106,1,China,0.0287434857542892,5.256274503844056,,5.256274503844056,2.7300438629883357,,0.005468414127395423
107,5,Vietnam,2.641679307334303,8.48431075937532,5.703182466434553,9.899725312250286,1.4504036414795716,0.4631938961942061,0.2668436975786986
108,3,China,-0.15560752982336967,-4.6933813523333106,3.9689081289312322,5.703447759238354,1.631808968036078,-0.03920663436099048,-0.027283063927660087
109,11,China,0.4824841158434193,-0.4259402481249136,7.42686942024992,7.094040840407939,1.3222858667367547,0.06496466930304308,0.0680125934848261
110,3,China,1.4693223374819986,4.780576720506197,2.8301423092662215,5.309775648849168,2.9615253617196062,0.5191690653403763,0.2767202297521661
111,5,China,2.3677831894519628,0.7815398627998863,5.143985402148074,4.666826888920913,2.045326541900896,0.460301304211167,0.5073646925008297
112,5,Vietnam,0.740149682039027,8.683252975118107,5.669721870649186,10.055619279900748,3.5061517209863533,0.13054426635468797,0.0736055792723223
113,11,Netherlands,0.029940504672049673,3.6458380052977883,4.340025739808587,5.515034959022324,0.891758983397472,0.006898692880418302,0.005428887558195527
114,2,China,0.7947635117002094,2.609483239129953,1.797802782809628,2.9026626049610336,0.43449406423133713,0.44207491461223763,0.2738049921275224
115,5,Vietnam,0.8998011167424904,2.6788501276253713,6.143150422332287,6.112845139163887,2.7956024009033436,0.146472258512738,0.14719841518274826
116,11,United Kingdom,0.10515552647928429,3.0677674515120144,3.6841620574359903,4.663725287760181,0.8357200178694354,0.028542589831802287,0.022547538714439735
117,2,United States of America,-0.25108654974372974,4.1307214133459516,2.2958200641454467,4.438271541731215,0.25143320021150606,-0.1093668243713993,-0.05657304817491848
118,4,China,0.0,-3.348470508487279,2.0373646530979395,3.7848904599048465,1.1155997461800125,0.0,0.0
119,4,China,0.7030113344534578,0.24616148789005554,6.721410623687433,5.826115005497571,6.505769766788461,0.10459282638913954,0.12066554364101813
120,4,China,0.6841857749851241,2.7415863192621135,4.402987891120443,4.6963839624736945,1.8070491695927655,0.15539124610470303,0.14568352597489656
121,11,Germany,2.233223712882614,2.919372548010588,3.386791034239932,4.353197695226057,0.9972169705441053,0.6593922359853527,0.5130076484538443
122,11,United Kingdom,2.4237484030168748,3.818087748419322,3.8416052476400355,5.290944608805103,1.5712860834601088,0.6309207341139034,0.45809370201746447
123,11,United Kingdom,2.168927629851665,1.9677787491506564,5.492153604881681,5.594081267146608,1.3070429874445213,0.39491386911025605,0.38771829122138896
124,9,China,0.11623267035533373,-1.7536033315628963,3.1900655118812846,3.481510935738033,1.6934433171932284,0.03643582550967349,0.03338569733106238
125,2,China,0.6741413843661941,-6.817789919293709,2.4091527647311555,7.027394104896125,4.6056957139860035,0.2798250879874874,0.09593049348072089
126,4,Vietnam,5.213772027728836,9.051026382866583,6.082393801325206,10.472235403635006,3.047652919685232,0.8571908031658327,0.4978661982635617
