farm_id,year,AEP_real_kWh,AEP_baseWD_kWh,Delta_AEP_WD_kWh,WakeLoss_real,WakeLoss_baseWD,Delta_WakeLoss_WD
159,2022,141267368.2,139730285.9,1537082.3,0.0374,0.0478,-0.0105
165,2022,84898183.7,84694921.9,203261.8,0.0635,0.0657,-0.0022
166,2022,118501801.7,118408858.3,92943.4,0.0236,0.0243,-0.0008
168,2022,58965796.3,59543069.1,-577272.8,0.0432,0.0338,0.0094
169,2022,76073103.3,75932257.7,140845.6,0.0380,0.0397,-0.0018
0,2023,27020104275.3,27286422160.6,-266317885.3,0.1319,0.1234,0.0086
1,2023,17486466064.7,17676803300.9,-190337236.2,0.1275,0.1180,0.0095
3,2023,12912420847.2,12914918121.3,-2497274.1,0.1441,0.1440,0.0002
4,2023,9666971697.1,9781665527.6,-114693830.5,0.2057,0.1962,0.0094
6,2023,6481047385.7,6472683910.7,8363475.0,0.1048,0.1060,-0.0012
8,2023,6524192585.4,6553126798.2,-28934212.9,0.1325,0.1287,0.0038
12,2023,7195127075.8,7230523115.2,-35396039.4,0.1466,0.1424,0.0042
14,2023,4068373246.1,4061208929.9,7164316.2,0.1129,0.1145,-0.0016
19,2023,4446440597.8,4421756614.0,24683983.7,0.1475,0.1523,-0.0047
21,2023,5795241014.5,5814563473.0,-19322458.5,0.0815,0.0785,0.0031
24,2023,3518618563.4,3547932433.0,-29313869.6,0.2026,0.1960,0.0066
28,2023,4325964346.4,4366377645.9,-40413299.6,0.1110,0.1027,0.0083
32,2023,3240120853.5,3261441553.8,-21320700.3,0.1448,0.1392,0.0056
34,2023,5990816623.3,5897615000.0,93201623.3,0.0818,0.0961,-0.0143
35,2023,2939478125.9,2994728163.6,-55250037.7,0.1355,0.1193,0.0162
37,2023,2535393571.6,2552234142.0,-16840570.4,0.1291,0.1233,0.0058
38,2023,3589571133.8,3594147156.8,-4576023.0,0.1426,0.1415,0.0011
39,2023,2437412177.1,2374229754.2,63182422.9,0.0708,0.0949,-0.0241
41,2023,2930724810.9,2943081495.5,-12356684.6,0.0890,0.0851,0.0038
42,2023,4935954188.1,4939016489.4,-3062301.3,0.0283,0.0277,0.0006
44,2023,3167864220.0,3120868964.0,46995256.0,0.0938,0.1072,-0.0134
45,2023,4961204524.2,4965615067.8,-4410543.6,0.0948,0.0940,0.0008
46,2023,5313762477.6,5303337986.9,10424490.7,0.0537,0.0555,-0.0019
47,2023,3005084673.7,3003622324.5,1462349.3,0.1155,0.1159,-0.0004
50,2023,2708725471.0,2736484378.9,-27758907.9,0.1137,0.1046,0.0091
52,2023,3549063091.3,3532463037.0,16600054.3,0.0853,0.0896,-0.0043
56,2023,232920523.1,239537140.9,-6616617.8,0.0687,0.0423,0.0265
57,2023,815971960.2,875848142.1,-59876181.9,0.4587,0.4189,0.0397
