farm_id,year,n_turb,capacity_kW,n_hours,wake_model,turbine_type,country,region,TI,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,Volatility_kW,CV,P5_kW,P95_kW,RampFreq,low_hours,high_hours,precompute_time_s
87,2014,38,380000.0,8099,gauss,iea_10MW,United Kingdom,europe,0.06,1557162763.6738186,1753573105.9819615,0.5059632975071057,0.11200579071276161,135232.6995579483,0.7607672593792997,0.0,350170.0,0.12524260760360773,0.23207762557077627,0.24942922374429224,11.280938899999455
87,2015,38,380000.0,8285,gauss,iea_10MW,United Kingdom,europe,0.06,1737915466.4748716,1934657438.4443376,0.5520171097020207,0.10169344094718218,132047.87250141683,0.6655901195578299,0.0,350170.0,0.13905696997374128,0.16906392694063926,0.29269406392694064,11.93628499999977
87,2016,38,380000.0,8205,gauss,iea_10MW,United Kingdom,europe,0.06,1575802120.047388,1776499371.2769513,0.5054049584808327,0.1129734434329136,132865.79016450577,0.7406343004348296,0.0,350170.0,0.13230103609245134,0.21584699453551912,0.24282786885245902,11.956387500002165
103,2021,38,380000.0,7858,gauss,iea_10MW,China,east_asia,0.08,1074403400.213174,1220748939.7501585,0.35980877691295965,0.11988176665296624,121766.87842882826,0.9928094557639099,0.0,350170.0,0.09555885375042814,0.3504566210045662,0.12420091324200913,12.060770699998102
108,2022,38,380000.0,7478,gauss,iea_10MW,China,east_asia,0.07,976569267.9053891,1059357241.3741724,0.34366396443792635,0.07814924959723014,120829.03639246523,1.0838579439103753,0.0,350170.0,0.1380294554172851,0.41084474885844746,0.09794520547945205,11.502093999999488
108,2023,38,380000.0,7568,gauss,iea_10MW,China,east_asia,0.07,1038149495.4529691,1124206424.1136305,0.3609900048170166,0.0765490454553417,122848.12027468329,1.0366036282054698,0.0,350170.0,0.14933211553830347,0.38447488584474887,0.10970319634703196,10.783334600000671
108,2024,38,380000.0,7591,gauss,iea_10MW,China,east_asia,0.07,1064336514.0092915,1153790207.2247221,0.3689745176106371,0.0775302933369479,123885.52007756558,1.0224307763924334,0.0,350170.0,0.14858248889900946,0.38524590163934425,0.10655737704918032,11.81848600000012
109,2016,38,380000.0,8051,gauss,iea_10MW,China,east_asia,0.08,1118479436.8332028,1261006079.6390991,0.3655902296652272,0.11302613453432954,118710.90180095352,0.9322983749902238,0.0,350170.0,0.10417852669930548,0.31204462659380694,0.10473588342440801,12.025155499999528
109,2017,38,380000.0,7958,gauss,iea_10MW,China,east_asia,0.08,1051410560.3864636,1183734256.8444452,0.3476840783807303,0.11178496836842855,115970.86001667645,0.9662302929244623,0.0,350170.0,0.10160977280511474,0.339041095890411,0.08926940639269407,11.980465399999957
109,2018,38,380000.0,7982,gauss,iea_10MW,China,east_asia,0.08,1212598469.5979846,1355479839.780559,0.39978058183478105,0.10541017725922491,122047.26532370035,0.8816884327670869,0.0,350170.0,0.10412147505422993,0.28207762557077626,0.11769406392694064,12.059362600000895
