id,lon,lat,first_year,active_2014,active_2015,active_2016,active_2017,active_2018,active_2019,active_2020,active_2021,active_2022,active_2023,active_2024
247,123.217632,39.473194,2020,False,False,False,False,False,False,True,True,True,True,True
248,123.179424,39.458847,2020,False,False,False,False,False,False,True,True,True,True,True
249,123.193863,39.458858,2020,False,False,False,False,False,False,True,True,True,True,True
250,123.17831,39.473194,2020,False,False,False,False,False,False,True,True,True,True,True
251,123.204628,39.487537,2020,False,False,False,False,False,False,True,True,True,True,True
252,123.207592,39.515831,2021,False,False,False,False,False,False,False,True,True,True,True
253,123.215572,39.458912,2019,False,False,False,False,False,True,True,True,True,True,True
254,123.186653,39.458845,2020,False,False,False,False,False,False,True,True,True,True,True
255,123.175552,39.51586,2021,False,False,False,False,False,False,False,True,True,True,True
256,123.196526,39.444384,2021,False,False,False,False,False,False,False,True,True,True,True
257,123.172035,39.487471,2021,False,False,False,False,False,False,False,True,True,True,True
258,123.184864,39.444439,2021,False,False,False,False,False,False,False,True,True,True,True
259,123.203899,39.509283,9999,False,False,False,False,False,False,False,False,False,False,False
260,123.206463,39.498396,9999,False,False,False,False,False,False,False,False,False,False,False
