farm_id,year,n_turb,stage,sx_D,sy_D,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_time_s
21,2024,162,fine,6.5,13.0,6665691978.897529,6962901020.783141,0.5216309176384137,0.042684657012715135,50.070740600000136
21,2024,162,fine,7.0,11.0,6689267946.512629,6962901020.783141,0.5234758804210042,0.03929871664896022,50.716379600002256
21,2024,162,fine,7.0,11.5,6713084406.536989,6962901020.783141,0.5253396631965566,0.0358782371744894,50.11676609999995
21,2024,162,fine,7.0,12.5,6713854119.424481,6962901020.783141,0.5253998979090353,0.03576769231894791,50.0815227000021
21,2024,162,fine,7.0,13.0,6704533640.392019,6962901020.783141,0.5246705137661849,0.03710628366250457,50.157172700000956
21,2024,162,fine,7.5,11.0,6668724272.874483,6962901020.783141,0.52186821307522,0.0422491641099863,50.42746380000244
21,2024,162,fine,7.5,11.5,6700453262.5365505,6962901020.783141,0.524351199394654,0.037692300588968046,49.930347900000925
21,2024,162,fine,7.5,12.0,6728242874.6489525,6962901020.783141,0.5265259054736178,0.033701203770349714,49.97687070000029
21,2024,162,fine,7.5,12.5,6742399556.051966,6962901020.783141,0.5276337518509101,0.031668045269208044,50.025780799998756
21,2024,162,fine,7.5,13.0,6743503011.165165,6962901020.783141,0.5277201039213467,0.03150956892294007,50.019829600001685
21,2024,162,fine,8.0,11.0,6673636717.234169,6962901020.783141,0.5222526417087817,0.04154364720761715,50.01032000000123
21,2024,162,fine,8.0,11.5,6685837753.093654,6962901020.783141,0.5232074469340562,0.0397913551926845,50.16591220000191
21,2024,162,fine,8.0,12.0,6710688867.740334,6962901020.783141,0.5251521977234003,0.03622228038140925,50.23126330000014
21,2024,162,fine,8.0,12.5,6737880060.364852,6962901020.783141,0.5272800738396856,0.03231712755166816,50.42245589999948
21,2024,162,fine,8.0,13.0,6756346838.763252,6962901020.783141,0.5287252115076544,0.02966496025196363,50.461368699998275
21,2014,162,validate,8.0,13.0,5812348963.778869,6010616473.984753,0.47208812246417065,0.03298621881200183,50.576007600000594
21,2015,162,validate,8.0,13.0,6696847519.770474,6900421251.06481,0.5218856828286174,0.029501638217075767,50.07786480000141
21,2016,162,validate,8.0,13.0,6466118541.107069,6669221506.523161,0.5108051187886153,0.030453774135022663,49.99287700000059
21,2017,162,validate,8.0,13.0,6524788725.432685,6764074017.533974,0.5027646188213957,0.03537591272375324,50.744287800000166
21,2018,162,validate,8.0,13.0,6281138271.107178,6499955603.167234,0.4954313629392353,0.03366443486989873,50.10632590000023
21,2019,162,validate,8.0,13.0,6332928505.552175,6541963362.265141,0.49191079990991043,0.03195292378412038,50.1866872999999
21,2020,162,validate,8.0,13.0,7211563731.669602,7439575194.99285,0.5482244520213466,0.030648452007946542,50.745511900000565
21,2021,162,validate,8.0,13.0,6399391862.237525,6626119194.403845,0.4887703402957284,0.03421721304950335,50.474321699999564
21,2022,162,validate,8.0,13.0,7295844156.43124,7502047426.041913,0.553132830259138,0.02748626580190336,50.15707149999798
21,2023,162,validate,8.0,13.0,6102370088.876387,6310258403.645514,0.48305913267380896,0.03294450107606168,50.40625419999924
21,2024,162,validate,8.0,13.0,6756346838.763252,6962901020.783141,0.5287252115076544,0.02966496025196363,50.02565479999976
14,2024,181,coarse,2.0,3.0,3263597240.5857487,5848491279.240804,0.24173379784336685,0.44197621493087047,59.243701899998996
14,2024,181,coarse,2.0,4.0,3730783031.395421,5848491279.240804,0.27633812772403843,0.3620947944920735,58.675591400002304
14,2024,181,coarse,2.0,5.0,4010634430.5053725,5848491279.240804,0.2970666479891453,0.3142446078801377,58.80318320000151
