farm_id,n_years,country,G_mean,G_ew_mean,M_S_rms,M_S_mae,M_S_std,M_S_mean,M_D_rms,M_D_mae,R_i,H_i,P11_median_err,exceeds_global_M_S,exceeds_own_M_S
107,5,Vietnam,2.641679307334303,3.1774340985018457,12.175486028360224,11.09399307537718,5.60867382612394,11.09399307537718,2.601880746763866,2.4820324743070428,0.21696705176130698,0,0.0,False,False
109,11,China,0.48248411584341944,0.49144971665202464,7.09182731042537,5.818099410207882,7.427329099924107,0.37923188205686914,1.2916248195587325,0.951094934296311,0.06803382185211161,0,0.0,False,False
111,5,China,2.3677831894519628,2.903215217903376,4.778047421495802,3.161670590521727,5.108821804824223,1.3963126352306374,1.8627981528225275,1.7175186549329748,0.4955545603837292,0,0.0,False,False
112,5,Vietnam,0.740149682039027,0.892970153784911,12.244607161413716,11.187781193606458,5.563716889513894,11.187781193606458,1.8644700493448818,1.6919618832967154,0.060446992890997094,0,0.0,False,False
113,11,Netherlands,0.029940504672049652,0.04198678838692525,6.837378143631166,5.66322002112343,4.5948332906246065,5.249434679370336,2.1975454514673354,1.8405952523455786,0.004378945268653662,0,0.0,False,False
115,5,Vietnam,0.8998011167424904,1.1444098919697498,6.73962104615179,5.544899259456396,6.196416783024398,3.834843815147495,1.4616464861463472,1.2646209408363958,0.1335091558680828,0,0.0,False,False
116,11,United Kingdom,0.10515552647928428,0.1068821735557847,4.693929300424023,4.128957789436018,3.7862009885767636,3.0001441752048894,1.2497761579597133,1.1046856506993703,0.022402452135311265,0,0.0,False,False
121,11,Germany,2.233223712882614,2.247538690703732,4.649141821374258,4.245319957939824,3.3972227714338117,3.3350547336421545,1.0984569811648446,0.8280145628364298,0.48035181517058706,0,0.0,False,False
122,11,United Kingdom,2.4237484030168748,2.41333191521109,9.86326596351804,8.883280397287665,5.075656960855676,8.59440216491473,5.173686640162377,4.458147966994556,0.24573487240248457,0,0.0,False,False
123,11,United Kingdom,2.168927629851665,2.174961096753373,7.363726950148728,6.710270415082771,5.347714230029993,5.3128381877311694,5.05830343014484,4.203990549752664,0.2945421040914422,0,0.0,False,False
124,9,China,0.11623267035533368,0.45505949785554545,3.379847588116923,2.7323882833026114,3.3276870105684497,-1.2570830763517646,2.0955858567489436,1.9501057140894607,0.03438991472988063,0,0.0,False,False
128,11,United Kingdom,0.5340111399144968,0.5344304432636543,5.414178896320642,4.367803740539649,5.4398181295227035,1.55301617131904,4.447832442230717,3.841736141614081,0.09863197174319435,0,0.0,False,False
130,5,Vietnam,1.1554058173447992,1.6368546300148163,13.531613310409984,12.544332661648035,5.672772344318847,12.544332661648035,2.3307824582426275,2.0480579642179086,0.0853856662055171,0,0.0,False,False
131,11,China,0.09476885757093272,0.13229665060498427,8.494926196533584,7.226641598678778,7.693278998347254,-4.2846031370899205,1.8254396573435354,1.3692539754577846,0.011155936541226673,0,0.0,False,False
135,9,Japan,-0.8357353566319375,-0.19811738031064802,12.039770261222262,11.82184011544586,2.4187155178581614,11.82184011544586,2.652730301982559,2.1723237476630186,-0.06941456012027714,0,0.0,False,False
137,11,Germany,1.488087061692818,1.4865272672602388,8.025917264100919,7.358188573249453,4.115062381022841,7.001502716852557,2.9715050740226103,2.647545525557354,0.18541021701642432,0,0.0,False,False
139,8,South Korea,0.0,0.0,4.941027696100973,4.583723032520501,3.4135994374512526,3.77063339694942,2.8879639234149113,2.6103052507849336,0.0,0,0.0,False,False
142,9,Germany,0.35606109279174974,0.35139292859407606,6.192583909802625,5.516351282989994,4.050448927716772,4.8749218477061165,4.334119069971274,3.9060079747490306,0.05749798435966585,0,0.0,False,False
144,11,Sweden,-1.5627706557973262,-1.592821208855898,8.707706125404044,8.07084156246199,3.42844406167561,8.07084156246199,2.0366011638708272,1.8660447978199592,-0.179469843526077,0,0.0,False,False
147,8,China,-0.8596610646831147,-0.8512140886532948,4.215961548463707,3.2504879748904845,4.248964567368659,-1.4061807743723636,1.2719473810812036,0.9832214795675513,-0.20390628681050812,0,0.0,False,False
148,9,Finland,0.32308757483480427,0.3222284493305335,8.28709613920879,7.059247716980376,5.2458156382532195,6.649436133989665,2.636831884852037,2.294171745017076,0.03898682595296294,0,0.0,False,False
149,11,Sweden,0.0,0.0,7.569014061492628,6.757016709726816,5.905138904175422,5.058593567725246,5.100555314094225,4.550313234094224,0.0,0,0.0,False,False
150,7,United Kingdom,1.3744374739188114,1.369727186655789,4.134014121309392,3.5718773854717845,4.431112997196939,-0.5101729290477948,1.4283165254803485,1.370504672637077,0.33247043517197206,0,0.0,False,False
152,11,Denmark,0.0,0.0,4.263373515823571,3.6792563121078685,2.9359290544475445,3.215630815565964,1.8147130029676568,1.547648785370252,0.0,0,0.0,False,False
153,11,Denmark,-0.3715458684900428,-0.3664289576590692,10.269150119500265,9.409538963033226,5.536065017964541,8.808723605370096,8.281293973225722,7.3437991803624865,-0.03618078070399496,0,0.0,False,False
154,11,Denmark,-0.1670478740590031,-0.18503557035377624,7.668388227992887,7.016948726664742,3.243958914788494,7.016948726664742,2.8046604492643383,2.319454491254639,-0.02178396151738994,0,0.0,False,False
157,11,Denmark,6.927728601626606,6.9432544586761615,6.429912122180005,5.745110274765263,4.188877438056419,5.03907032350891,2.4870199118292144,2.169792853306148,1.0774219724915652,1,0.0,True,True
158,11,Ireland,2.4065974370212007,2.3645375925359327,4.190150643997925,3.3245542080326587,4.393714919325342,-0.08721899831486381,1.8546718760121337,1.4890358355823385,0.574346280477641,0,0.0,False,False
160,9,United States of America,2.4440121886617443,2.452371050363609,7.945012247652196,7.626127394588244,2.3634880259821287,7.626127394588244,0.6878704836777066,0.621880557816797,0.307615912031346,0,0.0,False,False
162,8,United Kingdom,0.19947068889033504,0.19226590421343798,3.9881659342784137,3.44692520936655,4.263139469454954,0.05389016902211252,0.8896750557013136,0.6411713205686841,0.05001564432810533,0,0.0,False,False
163,11,Sweden,1.0704776428440552,1.0628829735568959,11.47396452521627,10.492218000529158,4.87049747878209,10.492218000529158,3.392988997702036,2.882852581467151,0.09329623082688397,0,0.0,False,False
164,8,United Kingdom,-0.028808651630399668,-0.027851109245904695,3.562036731144035,3.031699307860132,3.382772992282601,1.6356487081177526,0.6836537448618314,0.5755877172324827,-0.008087690780534727,0,0.0,False,False
165,11,China,1.567186880195721,1.5518386760056677,5.438383025839182,4.353373685972145,5.15448058218478,2.328663459269243,0.9117705687697673,0.7983278376429016,0.2881714790498583,0,0.0,False,False
