farm_id,year,country,P00_kWh,P10_kWh,P01_kWh,P11_kWh,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,P11_err_pct
109,2018,China,1082917121.9,1221014238.1,1082391846.9,1212598469.5979846,1212598469.5979846,1355479839.780559,0.399780581834781,0.1054101772592249,0.0
63,2018,China,1033505564.5,1137659305.9,1068663751.6,1095972382.8112328,1095972382.8112328,1257090857.4330266,0.3553275783981431,0.128167724448173,0.0
45,2018,China,2259034567.0,2221506391.3,2257589405.0,2183193998.881391,2183193998.881391,2350209187.390832,0.6051568192261974,0.0710639671589654,0.0
74,2018,China,1767121758.6,1822764889.7,1793550913.1,1840581786.3326936,1840581786.3326936,2005481469.605572,0.4414542726779874,0.0822244861256732,0.0
89,2018,China,1597359770.1,1754991355.3,1600143397.6,1721131162.556553,1721131162.556553,1991734458.1615293,0.4068175541176331,0.1358631390324777,0.0
88,2018,China,1373897042.7,1333464931.9,1387747108.5,1345498353.3116562,1345498353.3116562,1549565326.5118575,0.3150090963668335,0.1316930430158536,0.0
38,2018,China,1984459708.0,2159050683.5,1993307570.1,2098469677.5159037,2098469677.5159037,2463182341.080825,0.4078991244214112,0.1480656374813438,0.0
57,2018,Vietnam,493673694.9,669671539.5,499148012.5,603588042.20868,603588042.20868,1223631174.8332553,0.1258804700399547,0.5067238767507446,0.0
50,2018,China,2686509230.8,2688795320.6,2663154648.8,2664468214.465988,2664468214.465988,3041079288.3868394,0.3446954450325473,0.1238412544385276,0.0
24,2018,China,3675944651.2,3973588657.4,3668515865.5,3984139398.391552,3984139398.391552,4958881617.562679,0.3190026869584632,0.1965649302292114,0.0
0,2018,China,7100217042.2,7832910947.5,7106382558.0,7735885407.364262,7735885407.364262,8536511901.175238,0.4242349102553432,0.0937884821200509,0.0
1,2018,China,7008045945.5,7709167155.4,6948106901.7,7583459200.459497,7583459200.459497,8704490833.264856,0.4017560705019606,0.1287877320200342,0.0
3,2019,China,69977829.8,61439445.2,68173223.5,60978212.20302364,60978212.20302364,61532791.95264448,0.3787466596461096,0.0090127512830497,0.0
46,2019,China,111291256.5,114603720.3,115159573.0,114209604.73143584,114209604.73143584,114716121.430103,0.6882584351659385,0.0044153924692769,0.0
124,2019,China,98370071.3,95958293.0,97814397.1,95452468.63408785,95452468.63408785,95983021.6704072,0.5911101599832043,0.0055275717213948,0.0
101,2019,China,150325634.1,150152594.0,149122082.5,149392298.26481614,149392298.26481614,150169107.42827973,0.6128914800607842,0.0051728959222494,0.0
