config_hash,ws_bin_m_s,wd_sector_deg,wake_efficiency,p_noWake_kW,n_turbines
000999d0e861,11.0,220,0.76447475,184300.00,20
000999d0e861,12.0,220,0.88001928,184300.00,20
000999d0e861,13.0,220,0.97184140,184300.00,20
000999d0e861,14.0,220,1.00000000,184300.00,20
000999d0e861,16.0,220,1.00000000,184300.00,20
000999d0e861,18.0,220,1.00000000,184300.00,20
000999d0e861,20.0,220,1.00000000,184300.00,20
000999d0e861,22.0,220,1.00000000,184300.00,20
000999d0e861,25.0,220,1.00000000,184300.00,20
000999d0e861,30.0,220,1.00000000,0.00,20
000999d0e861,0.0,230,1.00000000,0.00,20
000999d0e861,3.0,230,0.25881997,656.14,20
000999d0e861,4.0,230,0.57570189,7631.14,20
000999d0e861,5.0,230,0.66398198,18612.58,20
000999d0e861,6.0,230,0.69440338,34188.08,20
000999d0e861,7.0,230,0.71038701,54608.36,20
000999d0e861,8.0,230,0.71420765,81834.08,20
000999d0e861,9.0,230,0.72094200,116677.17,20
000999d0e861,10.0,230,0.73831478,156919.07,20
000999d0e861,11.0,230,0.82164591,184300.00,20
000999d0e861,12.0,230,0.97281524,184300.00,20
000999d0e861,13.0,230,1.00000000,184300.00,20
000999d0e861,14.0,230,1.00000000,184300.00,20
000999d0e861,16.0,230,1.00000000,184300.00,20
000999d0e861,18.0,230,1.00000000,184300.00,20
000999d0e861,20.0,230,1.00000000,184300.00,20
000999d0e861,22.0,230,1.00000000,184300.00,20
000999d0e861,25.0,230,1.00000000,184300.00,20
000999d0e861,30.0,230,1.00000000,0.00,20
000999d0e861,0.0,240,1.00000000,0.00,20
000999d0e861,3.0,240,0.25882000,656.14,20
000999d0e861,4.0,240,0.51330727,7631.14,20
000999d0e861,5.0,240,0.59916293,18612.58,20
000999d0e861,6.0,240,0.63703519,34188.08,20
000999d0e861,7.0,240,0.65724303,54608.36,20
000999d0e861,8.0,240,0.66510507,81834.08,20
000999d0e861,9.0,240,0.66987620,116677.17,20
000999d0e861,10.0,240,0.68526725,156919.07,20
000999d0e861,11.0,240,0.76095513,184300.00,20
000999d0e861,12.0,240,0.91255781,184300.00,20
000999d0e861,13.0,240,0.99767760,184300.00,20
000999d0e861,14.0,240,1.00000000,184300.00,20
000999d0e861,16.0,240,1.00000000,184300.00,20
000999d0e861,18.0,240,1.00000000,184300.00,20
000999d0e861,20.0,240,1.00000000,184300.00,20
000999d0e861,22.0,240,1.00000000,184300.00,20
000999d0e861,25.0,240,1.00000000,184300.00,20
000999d0e861,30.0,240,1.00000000,0.00,20
000999d0e861,0.0,250,1.00000000,0.00,20
000999d0e861,3.0,250,0.47540287,656.14,20
000999d0e861,4.0,250,0.64857181,7631.14,20
000999d0e861,5.0,250,0.71539040,18612.58,20
000999d0e861,6.0,250,0.74510894,34188.08,20
000999d0e861,7.0,250,0.75859095,54608.36,20
000999d0e861,8.0,250,0.76275086,81834.08,20
000999d0e861,9.0,250,0.76483395,116677.17,20
000999d0e861,10.0,250,0.77493040,156919.07,20
000999d0e861,11.0,250,0.82760572,184300.00,20
000999d0e861,12.0,250,0.92665071,184300.00,20
000999d0e861,13.0,250,0.98971186,184300.00,20
000999d0e861,14.0,250,1.00000000,184300.00,20
000999d0e861,16.0,250,1.00000000,184300.00,20
000999d0e861,18.0,250,1.00000000,184300.00,20
000999d0e861,20.0,250,1.00000000,184300.00,20
000999d0e861,22.0,250,1.00000000,184300.00,20
000999d0e861,25.0,250,1.00000000,184300.00,20
000999d0e861,30.0,250,1.00000000,0.00,20
000999d0e861,0.0,260,1.00000000,0.00,20
000999d0e861,3.0,260,0.43162324,656.14,20
000999d0e861,4.0,260,0.77028191,7631.14,20
000999d0e861,5.0,260,0.81528562,18612.58,20
000999d0e861,6.0,260,0.83286342,34188.08,20
000999d0e861,7.0,260,0.84199289,54608.36,20
000999d0e861,8.0,260,0.84251130,81834.08,20
000999d0e861,9.0,260,0.84885217,116677.17,20
000999d0e861,10.0,260,0.86715643,156919.07,20
000999d0e861,11.0,260,0.93955437,184300.00,20
000999d0e861,12.0,260,1.00000000,184300.00,20
000999d0e861,13.0,260,1.00000000,184300.00,20
000999d0e861,14.0,260,1.00000000,184300.00,20
000999d0e861,16.0,260,1.00000000,184300.00,20
000999d0e861,18.0,260,1.00000000,184300.00,20
000999d0e861,20.0,260,1.00000000,184300.00,20
000999d0e861,22.0,260,1.00000000,184300.00,20
000999d0e861,25.0,260,1.00000000,184300.00,20
000999d0e861,30.0,260,1.00000000,0.00,20
000999d0e861,0.0,270,1.00000000,0.00,20
000999d0e861,3.0,270,0.45121384,656.14,20
000999d0e861,4.0,270,0.70582792,7631.14,20
000999d0e861,5.0,270,0.72442100,18612.58,20
000999d0e861,6.0,270,0.74553907,34188.08,20
