farm_id,year,P11_kWh,P10_kWh,P01_kWh,P00_kWh
92,2023,1698815504.8042002,1779853592.3,1799197400.9,1755317435.2
88,2023,1387333772.2693577,1378569528.1,1357893953.2,1350191309.7
89,2023,1668234625.7897084,1699155788.6,1671042561.6,1637948923.6
90,2023,1322629475.888224,1294569622.7,1390014815.5,1340682002.1
91,2023,1176360381.3568203,1171747092.0,1220952854.3,1216351216.6
86,2023,1079403680.5151792,1113329613.6,955359121.7,980900954.6
82,2023,1792313111.102924,1828525822.4,1750075548.5,1743574693.6
81,2023,2507040396.0472174,2495822381.3,2523926129.0,2640574644.2
78,2023,1553570408.0918565,1584853741.0,1507948775.2,1519817168.2
76,2023,1593383953.235472,1624822444.8,1547949945.1,1501883403.6
74,2023,2138686307.7068343,2106416098.1,2215293223.9,2048990747.5
72,2023,2041848799.6010542,2078103439.7,1984759431.4,2021782716.1
71,2023,2461800447.266106,2444576453.9,2217874115.6,2426249243.4
70,2023,1688010635.4100137,1716867346.9,1517743100.9,1507043060.3
39,2023,2445090243.261455,2374229754.2,2443342449.0,2513919127.9
66,2023,1753182822.712735,1897978552.4,1964914203.5,2042621691.8
63,2023,1928313106.9600291,1995191846.3,1929771735.6,1868769043.2
64,2023,976186276.2301329,972891484.1,978307252.9,1014099765.7
57,2023,818734948.8717072,875848142.1,700591580.7,709057668.8
52,2023,3522306255.1244106,3532463037.0,3587833778.4,3715554724.2
41,2023,2937536508.227604,2943081495.5,3247719380.6,3072199675.2
35,2023,2906928522.956235,2994728163.6,2880033116.7,2916232497.9
50,2023,2717666969.891796,2736484378.9,2671384627.1,2670521512.7
47,2023,3072975266.032423,3003622324.5,3216320603.1,3051574680.2
45,2023,4935074393.714637,4965615067.8,5147312923.8,5131322254.9
46,2023,5344437198.088957,5303337986.9,5545142176.2,5548524114.7
42,2023,4962935691.135066,4939016489.4,4923789070.8,5047601574.7
44,2023,3117575238.060308,3120868964.0,2970285161.4,2911030821.7
37,2023,2532595508.196229,2552234142.0,2761135254.0,2779266401.1
38,2023,3571623616.6340437,3594147156.8,3616351190.7,3538709002.2
34,2023,6027218760.973142,5897615000.0,6267907452.0,6252755853.1
32,2023,3298101048.722153,3261441553.8,3363510003.3,3192300511.3
28,2023,4303056118.735255,4366377645.9,4154748273.2,4087711152.9
14,2023,4030636703.0991426,4061208929.9,3962766783.3,4024760372.4
24,2023,3548864882.247769,3547932433.0,3555638026.7,3590869444.0
21,2023,5855784650.768397,5814563473.0,6768859818.7,6135821789.9
19,2023,4444092370.449623,4421756614.0,4231421200.8,4225999517.4
8,2023,6504665683.325333,6553126798.2,6623661651.6,6337096737.3
6,2023,6460349692.151358,6472683910.7,5921435420.3,5903340130.3
12,2023,7475141835.017373,7230523115.2,7881394369.3,7373503472.8
4,2023,10048144781.483685,9781665527.6,10361278607.2,9667257515.7
3,2023,12920336198.113321,12914918121.3,12874144076.9,12716027106.6
1,2023,17600943241.60112,17676803300.9,17050714945.2,16992775828.7
0,2023,27252010380.175705,27286422160.6,27472394388.3,27269005816.4
168,2024,57735638.43439558,59904991.0,58415334.4,56907939.2
169,2024,81274509.71605958,82675898.3,82713265.2,81114409.4
165,2024,85691776.80718413,88496570.2,83188758.5,80951351.6
166,2024,104634323.42123127,106343763.9,104402431.6,106816330.3
159,2024,162967093.5338387,169539080.5,127015393.3,131110134.0
151,2024,293220047.4429233,297162188.7,287229096.6,294959771.7
147,2024,293787163.8557868,302318544.9,299485063.8,292450544.4
145,2024,431846313.9934036,448597125.5,261563914.3,265173545.8
143,2024,415292166.4552246,420289373.2,357569667.1,379504158.9
141,2024,394892425.0117403,390854598.8,331037005.6,318327844.8
