farm_id,year,config_hash
83,2016,5f630654e04b
83,2017,5f630654e04b
83,2018,5f630654e04b
83,2019,5f630654e04b
83,2020,5f630654e04b
83,2021,5f630654e04b
83,2022,5f630654e04b
83,2023,5f630654e04b
83,2024,5f630654e04b
84,2014,ea7ad8da303b
84,2015,ea7ad8da303b
84,2016,9a149eadeabe
84,2017,9a149eadeabe
84,2018,9a149eadeabe
84,2019,9a149eadeabe
84,2020,9a149eadeabe
84,2021,9a149eadeabe
84,2022,9a149eadeabe
84,2023,9a149eadeabe
84,2024,9a149eadeabe
85,2023,da34272844ee
85,2024,9960d5f4fb45
86,2021,619e5256beb7
86,2022,c5efbcf61015
86,2023,c5efbcf61015
86,2024,c5efbcf61015
87,2014,ce78c23fab81
87,2015,ce78c23fab81
87,2016,ce78c23fab81
87,2017,11fc66c629d0
87,2018,11fc66c629d0
87,2019,11fc66c629d0
87,2020,11fc66c629d0
87,2021,11fc66c629d0
87,2022,11fc66c629d0
87,2023,11fc66c629d0
87,2024,11fc66c629d0
88,2014,6c91d20d6cfe
88,2015,6c91d20d6cfe
88,2016,f2eb999003cb
88,2017,26b1a72570a5
88,2018,26b1a72570a5
88,2019,26b1a72570a5
88,2020,26b1a72570a5
88,2021,26b1a72570a5
88,2022,26b1a72570a5
88,2023,26b1a72570a5
88,2024,26b1a72570a5
89,2014,d5ca5ff7ed07
89,2015,d5ca5ff7ed07
89,2016,f0bbb83aad36
89,2017,f0bbb83aad36
89,2018,e95cf721fe8a
89,2019,0a8f84da9c5b
89,2020,0a8f84da9c5b
89,2021,0a8f84da9c5b
89,2022,0a8f84da9c5b
89,2023,0a8f84da9c5b
89,2024,0a8f84da9c5b
90,2021,82057f21f4d2
90,2022,82057f21f4d2
90,2023,82057f21f4d2
90,2024,82057f21f4d2
91,2020,245b90bf9fd7
91,2021,4942c10ed52b
91,2022,4942c10ed52b
91,2023,4942c10ed52b
91,2024,4942c10ed52b
92,2019,f7e65d370149
92,2020,4bc0599892fc
92,2021,4bc0599892fc
92,2022,4bc0599892fc
92,2023,4bc0599892fc
92,2024,4bc0599892fc
93,2021,7df984d7e192
93,2022,7df984d7e192
93,2023,819f52d70916
93,2024,9084434816e6
94,2022,fae436732af9
94,2023,fae436732af9
94,2024,fae436732af9
95,2023,fc9b4ea1a47f
95,2024,2bea1a2f6867
96,2014,68b581ef7a89
96,2015,68b581ef7a89
96,2016,68b581ef7a89
96,2017,68b581ef7a89
96,2018,68b581ef7a89
96,2019,68b581ef7a89
96,2020,68b581ef7a89
96,2021,68b581ef7a89
96,2022,68b581ef7a89
96,2023,68b581ef7a89
96,2024,68b581ef7a89
97,2014,b34690b1b4df
97,2015,b34690b1b4df
97,2016,82d24463db47
97,2017,af8becd93880
97,2018,8efd0901430e
97,2019,8efd0901430e
97,2020,29516073f4d0
97,2021,d5f7efdffe53
97,2022,d5f7efdffe53
97,2023,d5f7efdffe53
97,2024,f7ae4f8194e1
98,2018,85e2087c7f4f
98,2019,0cb258514c93
98,2020,4052d1419aa8
98,2021,bd5ccec93ae6
98,2022,bd5ccec93ae6
98,2023,bd5ccec93ae6
98,2024,bd5ccec93ae6
99,2014,b8d0a3e50255
99,2015,b8d0a3e50255
99,2016,00a687d85be7
99,2017,00a687d85be7
99,2018,00a687d85be7
99,2019,00a687d85be7
99,2020,00a687d85be7
99,2021,00a687d85be7
99,2022,00a687d85be7
99,2023,00a687d85be7
99,2024,00a687d85be7
100,2014,9f2874448f5e
100,2015,9f2874448f5e
100,2016,9f2874448f5e
100,2017,9f2874448f5e
100,2018,9f2874448f5e
100,2019,9f2874448f5e
100,2020,9f2874448f5e
100,2021,9f2874448f5e
100,2022,9f2874448f5e
100,2023,9f2874448f5e
100,2024,9f2874448f5e
101,2014,134dc05e087d
101,2015,134dc05e087d
101,2016,6675b03ea85b
101,2017,6675b03ea85b
101,2018,6675b03ea85b
101,2019,6675b03ea85b
101,2020,e289e7a10518
101,2021,737c1a0b5e56
101,2022,737c1a0b5e56
101,2023,737c1a0b5e56
101,2024,737c1a0b5e56
102,2014,767db6d504dd
102,2015,767db6d504dd
102,2016,767db6d504dd
102,2017,767db6d504dd
102,2018,767db6d504dd
102,2019,767db6d504dd
102,2020,767db6d504dd
102,2021,767db6d504dd
102,2022,767db6d504dd
102,2023,767db6d504dd
102,2024,767db6d504dd
103,2021,1e05519c8457
103,2022,c7e8d14c8122
103,2023,c7e8d14c8122
103,2024,c7e8d14c8122
104,2023,42239aa6cb7d
104,2024,c8e52e2d6c9e
105,2023,2ab678fa9b77
105,2024,2ab678fa9b77
106,2024,7b4b6fea84e8
107,2020,f3da82780415
107,2021,8fb6d10c8fda
107,2022,8fb6d10c8fda
107,2023,8fb6d10c8fda
107,2024,8fb6d10c8fda
108,2022,5e108af8369d
108,2023,5e108af8369d
108,2024,5e108af8369d
109,2014,6656e3bbe5a2
109,2015,6656e3bbe5a2
109,2016,5d52e987f682
109,2017,5d52e987f682
109,2018,5d52e987f682
109,2019,5d52e987f682
109,2020,5d52e987f682
109,2021,5d52e987f682
109,2022,5d52e987f682
109,2023,5d52e987f682
