farm_id,n_turb,country,layout_type,spacing_d,WCI_hist,WPD_hist,theta_energy_hist,AxisMismatch,CrosswindAlign,P_A,P_B,P_C,P_D,P_E,paradigm_labels,confidence,is_ambiguous,has_expansion,total_new
49,101,France,rule_grid,2.63,,,,,,1,0,0,0,0,A,0.5,0,False,101
50,100,China,cluster,3.29,0.4025,926.3,32.9,25.9,25.900000000000006,0,1,1,1,0,B+C+D,1.0,0,True,100
51,91,United Kingdom,belt,4.51,0.3861,771.1,33.3,74.4,74.4,1,0,0,1,1,A+D+E,1.0,0,False,91
52,90,China,belt,1.85,,,,,,0,0,1,0,0,C,1.0,0,True,95
53,90,United Kingdom,cluster,5.74,0.3448,598.0,43.5,68.0,68.0,0,0,0,0,1,E,1.0,0,False,90
54,89,Netherlands,rule_grid,3.5,0.3615,1275.4,28.2,31.0,31.0,0,0,0,1,1,D+E,1.0,0,False,89
55,88,United Kingdom,belt,3.57,,,,,,0,0,0,0,1,E,1.0,0,False,88
56,83,Vietnam,cluster,3.55,0.4114,989.9,37.5,33.599999999999994,33.599999999999994,0,1,1,1,1,B+C+D+E,1.0,0,True,83
57,80,Vietnam,multi_cluster,1.75,,,,,,0,0,1,0,0,C,1.0,0,True,80
58,81,France,belt,5.61,,,,,,0,0,0,0,1,E,1.0,0,False,90
59,80,Denmark,rule_grid,2.84,,,,,,0,0,1,0,0,C,1.0,0,True,80
60,80,Denmark,belt,4.5,,,,,,0,0,0,0,1,E,1.0,0,False,80
61,80,Denmark,rule_grid,3.78,,,,,,0,0,0,0,1,E,1.0,0,False,80
62,79,Taiwan,belt,3.7,,,,,,0,0,1,0,1,C+E,1.0,0,True,81
63,75,China,cluster,3.91,,,,,,0,0,1,0,1,C+E,1.0,0,True,79
64,75,Vietnam,belt,2.07,0.395,243.2,81.0,0.9000000000000057,0.9000000000000057,0,1,1,0,0,B+C,1.0,0,True,76
65,75,Netherlands,rule_grid,3.49,,,,,,0,0,0,0,1,E,1.0,0,False,77
66,74,China,belt,2.19,,,,,,0,0,1,0,0,C,1.0,0,True,74
67,73,United Kingdom,rule_grid,3.13,,,,,,1,0,0,0,0,A,0.5,0,False,73
68,72,Denmark,belt,5.11,,,,,,0,0,1,0,1,C+E,1.0,0,True,72
69,71,France,rule_grid,5.57,0.5588,281.2,88.7,31.800000000000004,31.800000000000004,0,0,1,0,1,C+E,1.0,0,True,71
70,70,China,cluster,3.28,0.5669,334.4,88.8,5.5,5.5,0,1,0,0,0,B,1.0,0,False,70
71,69,Taiwan,belt,4.1,,,,,,0,0,1,0,1,C+E,1.0,0,True,69
72,68,China,cluster,3.12,,,,,,0,0,1,0,0,C,1.0,0,True,68
73,67,United Kingdom,rule_grid,5.09,,,,,,0,0,0,0,1,E,1.0,0,False,67
74,62,China,belt,1.74,,,,,,0,0,1,0,0,C,1.0,0,True,65
75,62,France,rule_grid,5.87,0.2471,157.5,103.5,19.099999999999994,19.099999999999994,0,0,0,0,1,E,1.0,0,False,62
76,61,China,multi_cluster,2.98,,,,,,1,0,0,0,0,A,0.5,0,False,69
77,60,China,cluster,3.34,0.1805,180.4,88.5,110.9,69.1,0,0,0,0,1,E,1.0,0,False,60
78,60,China,cluster,3.2,,,,,,0,0,1,0,0,C,1.0,0,True,61
79,60,China,cluster,3.84,0.165,251.8,78.8,37.3,37.3,0,1,1,0,1,B+C+E,1.0,0,True,60
80,60,United Kingdom,belt,5.67,0.203,159.9,93.6,110.3,69.7,0,0,1,0,1,C+E,1.0,0,True,60
81,59,China,belt,2.44,,,,,,0,0,1,0,0,C,1.0,0,True,59
82,58,China,belt,3.08,0.2263,175.8,92.6,90.19999999999999,89.80000000000001,1,0,0,0,0,A,1.0,0,False,58
83,58,United Kingdom,rule_grid,2.4,,,,,,1,0,0,0,0,A,0.5,0,False,58
84,57,United Kingdom,belt,4.61,,,,,,0,0,1,0,1,C+E,1.0,0,True,57
85,56,China,belt,3.18,0.1454,219.8,80.4,5.400000000000006,5.400000000000006,0,1,1,0,0,B+C,1.0,0,True,56
86,56,Vietnam,belt,1.68,0.2001,265.8,59.6,12.399999999999999,12.400000000000006,0,1,1,0,0,B+C,1.0,0,True,56
87,56,United Kingdom,cluster,4.71,,,,,,0,0,1,0,1,C+E,1.0,0,True,56
88,55,China,belt,3.42,,,,,,0,0,1,0,1,C+E,1.0,0,True,55
89,55,China,belt,4.24,,,,,,0,0,1,0,1,C+E,1.0,0,True,59
90,55,China,belt,2.66,,,,,,1,0,0,0,0,A,0.5,0,False,62
91,55,China,multi_cluster,2.04,0.3721,277.5,68.6,35.699999999999996,35.699999999999996,0,0,1,0,0,C,1.0,0,True,55
92,54,China,multi_cluster,2.26,0.2674,433.6,72.6,78.1,78.1,1,0,1,0,0,A+C,1.0,0,True,54
