farm_id,ws_bin_m_s,wd_weighted_efficiency,energy_share,wakeloss_pct
147,18.0,1.0,0.013781,0.0
147,20.0,1.0,0.000548,0.0
147,22.0,1.0,0.000548,0.0
147,25.0,1.0,0.000548,0.0
147,30.0,1.0,0.0,0.0
145,0.0,1.0,0.246418,0.0
145,3.0,0.486253,0.253171,51.3747
145,4.0,0.749794,0.253171,25.0206
145,5.0,0.790961,0.253171,20.9039
145,6.0,0.819469,0.222597,18.0531
145,7.0,0.829738,0.222597,17.0262
145,8.0,0.842954,0.145752,15.7046
145,9.0,0.847261,0.145752,15.2739
145,10.0,0.868916,0.076481,13.1084
145,11.0,0.92433,0.076481,7.567
145,12.0,0.987752,0.043169,1.2248
145,13.0,0.995969,0.043169,0.4031
145,14.0,0.997598,0.043169,0.2402
145,16.0,1.0,0.011682,0.0
145,18.0,1.0,0.011682,0.0
145,20.0,1.0,0.00073,0.0
145,22.0,1.0,0.00073,0.0
145,25.0,1.0,0.00073,0.0
145,30.0,1.0,0.0,0.0
143,0.0,1.0,0.151501,0.0
143,3.0,0.753315,0.237656,24.6685
143,4.0,0.891556,0.237656,10.8444
143,5.0,0.896815,0.237656,10.3185
143,6.0,0.960563,0.247422,3.9437
143,7.0,0.962469,0.247422,3.7531
143,8.0,0.979357,0.197956,2.0643
143,9.0,0.979476,0.197956,2.0524
143,10.0,0.985412,0.119832,1.4588
143,11.0,0.994788,0.119832,0.5212
143,12.0,0.998161,0.044355,0.1839
143,13.0,0.998928,0.044355,0.1072
143,14.0,0.999923,0.044355,0.0077
143,16.0,1.0,0.001278,0.0
143,18.0,1.0,0.001278,0.0
143,20.0,1.0,0.0,0.0
143,22.0,1.0,0.0,0.0
143,25.0,1.0,0.0,0.0
143,30.0,1.0,0.0,0.0
144,0.0,1.0,0.075933,0.0
144,3.0,0.624212,0.141188,37.5788
144,4.0,0.777141,0.141188,22.2859
144,5.0,0.798265,0.141188,20.1735
144,6.0,0.812021,0.178881,18.7979
144,7.0,0.818228,0.178881,18.1772
144,8.0,0.831926,0.180524,16.8074
144,9.0,0.835275,0.180524,16.4725
144,10.0,0.852253,0.169389,14.7747
144,11.0,0.881968,0.169389,11.8032
144,12.0,0.923572,0.16081,7.6428
144,13.0,0.947956,0.16081,5.2044
144,14.0,0.969378,0.16081,3.0622
144,16.0,0.998735,0.076572,0.1265
144,18.0,1.0,0.076572,0.0
144,20.0,1.0,0.016428,0.0
144,22.0,1.0,0.016428,0.0
144,25.0,1.0,0.016428,0.0
144,30.0,1.0,0.000274,0.0
141,0.0,1.0,0.100666,0.0
141,3.0,0.633543,0.292233,36.6457
141,4.0,0.807509,0.292233,19.2491
141,5.0,0.830229,0.292233,16.9771
141,6.0,0.905677,0.316601,9.4323
141,7.0,0.909804,0.316601,9.0196
141,8.0,0.951285,0.19896,4.8715
141,9.0,0.9528,0.19896,4.72
141,10.0,0.961852,0.076298,3.8148
141,11.0,0.981429,0.076298,1.8571
141,12.0,0.995549,0.014968,0.4451
141,13.0,0.997729,0.014968,0.2271
141,14.0,0.998929,0.014968,0.1071
141,16.0,1.0,0.000274,0.0
141,18.0,1.0,0.000274,0.0
141,20.0,1.0,0.0,0.0
141,22.0,1.0,0.0,0.0
141,25.0,1.0,0.0,0.0
141,30.0,1.0,0.0,0.0
142,0.0,1.0,0.085242,0.0
142,3.0,0.332309,0.148124,66.7691
142,4.0,0.535608,0.148124,46.4392
142,5.0,0.595327,0.148124,40.4673
142,6.0,0.627992,0.187551,37.2008
142,7.0,0.647476,0.187551,35.2524
142,8.0,0.661545,0.184448,33.8455
142,9.0,0.670869,0.184448,32.9131
142,10.0,0.691372,0.153418,30.8628
142,11.0,0.765109,0.153418,23.4891
142,12.0,0.898969,0.1536,10.1031
142,13.0,0.971247,0.1536,2.8753
142,14.0,0.992119,0.1536,0.7881
142,16.0,0.999651,0.070914,0.0349
142,18.0,1.0,0.070914,0.0
142,20.0,1.0,0.01661,0.0
142,22.0,1.0,0.01661,0.0
142,25.0,1.0,0.01661,0.0
142,30.0,1.0,9.1e-05,0.0
139,0.0,1.0,0.166651,0.0
139,3.0,0.415487,0.216756,58.4513
139,4.0,0.681851,0.216756,31.8149
139,5.0,0.739152,0.216756,26.0848
139,6.0,0.773589,0.205713,22.6411
139,7.0,0.786748,0.205713,21.3252
139,8.0,0.792322,0.164735,20.7678
139,9.0,0.796074,0.164735,20.3926
139,10.0,0.815343,0.123209,18.4657
139,11.0,0.873953,0.123209,12.6047
139,12.0,0.973056,0.093091,2.6944
139,13.0,0.993366,0.093091,0.6634
139,14.0,0.999747,0.093091,0.0253
139,16.0,1.0,0.028292,0.0
139,18.0,1.0,0.028292,0.0
139,20.0,1.0,0.00146,0.0
139,22.0,1.0,0.00146,0.0
139,25.0,1.0,0.00146,0.0
139,30.0,1.0,9.1e-05,0.0
140,0.0,1.0,0.060053,0.0
140,3.0,0.77533,0.107694,22.467
140,4.0,0.903875,0.107694,9.6125
140,5.0,0.915124,0.107694,8.4876
140,6.0,0.922616,0.145387,7.7384
140,7.0,0.927008,0.145387,7.2992
140,8.0,0.924236,0.174318,7.5764
140,9.0,0.925278,0.174318,7.4722
140,10.0,0.932098,0.168659,6.7902
140,11.0,0.950528,0.168659,4.9472
140,12.0,0.969301,0.184905,3.0699
140,13.0,0.97539,0.184905,2.461
140,14.0,0.98045,0.184905,1.955
140,16.0,0.992213,0.118372,0.7787
140,18.0,1.0,0.118372,0.0
140,20.0,1.0,0.038697,0.0
140,22.0,1.0,0.038697,0.0
140,25.0,1.0,0.038697,0.0
140,30.0,1.0,0.001917,0.0
136,0.0,1.0,0.055125,0.0
136,3.0,0.771455,0.105868,22.8545
136,4.0,0.898233,0.105868,10.1767
136,5.0,0.908731,0.105868,9.1269
136,6.0,0.923525,0.145387,7.6475
136,7.0,0.92769,0.145387,7.231
136,8.0,0.932989,0.168659,6.7011
136,9.0,0.933941,0.168659,6.6059
136,10.0,0.935562,0.172127,6.4438
136,11.0,0.953775,0.172127,4.6225
136,12.0,0.980824,0.188829,1.9176
136,13.0,0.984229,0.188829,1.5771
136,14.0,0.987651,0.188829,1.2349
136,16.0,0.99399,0.122479,0.601
136,18.0,1.0,0.122479,0.0
136,20.0,1.0,0.039336,0.0
136,22.0,1.0,0.039336,0.0
136,25.0,1.0,0.039336,0.0
136,30.0,1.0,0.00219,0.0
137,0.0,1.0,0.091813,0.0
137,3.0,0.457065,0.150315,54.2935
137,4.0,0.687495,0.150315,31.2505
137,5.0,0.737252,0.150315,26.2748
137,6.0,0.758082,0.187551,24.1918
137,7.0,0.771302,0.187551,22.8698
137,8.0,0.773591,0.198229,22.6409
137,9.0,0.778289,0.198229,22.1711
137,10.0,0.788088,0.15716,21.1912
137,11.0,0.848333,0.15716,15.1667
137,12.0,0.941633,0.138907,5.8367
137,13.0,0.989598,0.138907,1.0402
137,14.0,0.997299,0.138907,0.2701
137,16.0,1.0,0.064342,0.0
137,18.0,1.0,0.064342,0.0
137,20.0,1.0,0.011499,0.0
137,22.0,1.0,0.011499,0.0
137,25.0,1.0,0.011499,0.0
137,30.0,1.0,0.000183,0.0
129,0.0,1.0,0.063886,0.0
129,3.0,0.680966,0.105321,31.9034
129,4.0,0.922083,0.105321,7.7917
129,5.0,0.936955,0.105321,6.3045
129,6.0,0.943963,0.144474,5.6037
129,7.0,0.946946,0.144474,5.3054
129,8.0,0.94757,0.158985,5.243
129,9.0,0.948452,0.158985,5.1548
129,10.0,0.95216,0.154422,4.784
129,11.0,0.978792,0.154422,2.1208
129,12.0,0.997787,0.183627,0.2213
129,13.0,0.999719,0.183627,0.0281
129,14.0,1.0,0.183627,0.0
129,16.0,1.0,0.135347,0.0
