farm_id,A_built_S_A,A_fixed_S_A,A_C0_S_A,A_C1_S_A,A_C2_S_A,A_C3_S_A,A_built_S_B0,A_fixed_S_B0,A_C0_S_B0,A_C1_S_B0,A_C2_S_B0,A_C3_S_B0,A_built_S_B45,A_fixed_S_B45,A_C0_S_B45,A_C1_S_B45,A_C2_S_B45,A_C3_S_B45,A_built_S_C,A_fixed_S_C,A_C0_S_C,A_C1_S_C,A_C2_S_C,A_C3_S_C,A_built_S_D,A_fixed_S_D,A_C0_S_D,A_C1_S_D,A_C2_S_D,A_C3_S_D,A_built_S_E,A_fixed_S_E,A_C0_S_E,A_C1_S_E,A_C2_S_E,A_C3_S_E
10,0.1498375517430431,0.1498375517430431,0.1498375517430431,0.11937044011805681,0.16973075007951624,1.369820636877903e-14,0.7197273350614822,0.7197273350614822,0.7197273350614822,0.4602996280276773,0.5781398037807712,1.7092597222480026e-14,0.7197159560098287,0.719715956009846,0.7197159560098287,0.4603059393994737,0.5781158846081483,-3.418509053953378e-14,0.4318888591457233,0.43188885914573827,0.4318888591457233,0.37131160789809875,0.5012437078296701,2.986293938829041e-14,0.5667320140259383,0.5667320140259383,0.5667320140259383,0.5147785728568022,0.6767246514331037,-1.5988370892624065e-14,0.11622179712736971,0.11622179712736974,0.11622179712736971,0.10125740089446467,0.1490171743763551,-1.3567625453399404e-14
11,0.19298929156698133,0.19298929156698133,0.19298929156698133,0.18798529237102735,0.26022211229173353,1.3419504702400471e-14,0.15212001764925626,0.15212001764925626,0.15212001764925626,0.23296290082541432,0.2878899339327247,3.345853535590987e-14,0.15211708878573896,0.15211708878572222,0.15211708878573896,0.23295141807207145,0.28787826951782,-1.6729215636711694e-14,0.3160972150375915,0.3160972150375915,0.3160972150375915,0.3035344153424741,0.3692357449171145,-2.9236269673740344e-14,0.4587911112959361,0.4587911112959361,0.4587911112959361,0.4954523855336515,0.6468079600301361,1.5649538841077817e-14,0.1798797048381771,0.1798797048381904,0.1798797048381771,0.18119514270111534,0.26653560284154354,-1.329323179970102e-14
12,1.2580341087862994,1.2580341087863185,1.2580341087862994,0.9077879413388628,0.8067882966070627,0.0,6.499060024015721,6.499060024015721,6.499060024015721,4.097287383430123,3.2575855457383116,0.0,6.498992470054563,6.498992470054563,6.498992470054563,4.097134289941646,3.2573688378820638,0.0,4.098477370137959,4.098477370137959,4.098477370137959,2.7968810772984294,2.3769805616073825,4.3655011060186233e-14,7.141728626063,7.141728626063,7.141728626063,5.060462906610863,4.172008172685729,1.2205039384447566e-14,0.8038763749108823,0.8038763749108823,0.8038763749108823,0.5895488898861136,0.5230895741122682,0.0
13,0.269164767660624,0.269164767660624,0.269164767660624,0.2690273992801465,0.3056959981618924,-1.6161111229567696e-14,0.8198454802173125,0.8198454802173125,0.8198454802173125,0.6994493326628468,0.7573777499783994,-2.124103980521429e-14,0.8198086481273748,0.8198086481273748,0.8198086481273748,0.6994222484979045,0.7573520864399786,2.1240969104532427e-14,0.6148811926839166,0.6148811926839166,0.6148811926839166,0.5412574076521296,0.5820469740335299,1.799862209788301e-14,0.8364842921445941,0.8364842921445941,0.8364842921445941,0.7712152254754785,0.8536530814765159,1.9569148281847636e-14,0.23094859601672812,0.23094859601672812,0.23094859601672812,0.24023404943627288,0.2797731195741238,1.5966128169731666e-14
14,0.4644429157178079,0.4644429157178293,0.4644429157178079,0.33469182394490615,0.2967544354834149,0.0,1.7775383531245579,1.7775383531245579,1.7775383531245579,1.1763706270469756,0.9909227166043878,0.0,1.7776112038207292,1.7776112038207137,1.7776112038207292,1.1764084053399002,0.990953650721295,0.0,1.3847902110266919,1.3847902110266919,1.3847902110266919,0.9781002298320696,0.8503953634620525,0.0,1.959792471345388,1.959792471345388,1.959792471345388,1.2183991246868222,1.0483875023941123,0.0,0.4177193222582205,0.4177193222582205,0.4177193222582205,0.33520551293649525,0.3006955410600009,0.0
15,0.2059942645882954,0.20599426458831044,0.2059942645882954,0.19347276781048894,0.24314598146584515,0.0,0.6328121377803376,0.6328121377803376,0.6328121377803376,0.5094274718703098,0.5979807318980213,0.0,0.6328627363711075,0.6328627363711075,0.6328627363711075,0.5094420784816243,0.5979955382301232,0.0,0.44934289973524405,0.4493428997352441,0.44934289973524405,0.4574360288470522,0.5485113325795219,3.314952179081946e-14,0.868908057934236,0.868908057934236,0.868908057934236,0.7922115873105376,0.9590697516450377,1.788429240474257e-14,0.17560734811215295,0.17560734811216785,0.17560734811215295,0.1606381834182638,0.20533664569249688,1.4862054081655168e-14
16,0.2219020769316082,0.2219020769316082,0.2219020769316082,0.1869035581522916,0.2690560843708661,0.0,0.354366661817193,0.354366661817193,0.354366661817193,0.29732598553427847,0.3847429092487912,1.659019490756926e-14,0.35439000537221377,0.35439000537221377,0.35439000537221377,0.29732606769446224,0.3847427405409321,0.0,0.4413896380312821,0.4413896380313113,0.4413896380312821,0.31589690609379517,0.4082842231857828,1.455394227116598e-14,0.6204881600632962,0.6204881600632962,0.6204881600632962,0.5239339188934738,0.7051525486246104,-1.5551967714214352e-14,0.1915702050843215,0.19157020508433478,0.1915702050843215,0.16924859109166465,0.25455063170056164,1.3259640245249797e-14
17,0.28346953039668926,0.28346953039668926,0.28346953039668926,0.2387129348836198,0.284346238771523,0.0,0.9917290170792034,0.9917290170792034,0.9917290170792034,0.8646441555552741,0.9408648481967834,0.0,0.9917140409481494,0.9917140409481695,0.9917140409481494,0.8646282717460192,0.9408501588670767,1.9823914441861554e-14,0.7678559338356332,0.7678559338356161,0.7678559338356332,0.6679691965970809,0.760860764531116,0.0,1.0738615080093172,1.0738615080093172,1.0738615080093172,0.8863722519800366,0.984160555107136,-1.8310969947983773e-14,0.22651755156336337,0.22651755156336337,0.22651755156336337,0.1912967637821607,0.2331427948158266,-3.011088233468582e-14
18,0.1775410600865993,0.1775410600866129,0.1775410600865993,0.19001193571842245,0.2627176371763867,-2.7172143223480286e-14,0.18742014972731103,0.18742014972731103,0.18742014972731103,0.23482270036553152,0.29726252940274495,0.0,0.18746722164122598,0.18746722164119195,0.18746722164122598,0.23482628101620262,0.2972659955434673,0.0,0.30127263329969783,0.30127263329969783,0.30127263329969783,0.2910158993130527,0.3586199047832243,-1.482292211144483e-14,0.47172288511472027,0.47172288511472027,0.47172288511472027,0.4917159625938828,0.6419752019935501,0.0,0.1663592563589533,0.16635925635896676,0.1663592563589533,0.1784912898898047,0.2586409553301829,0.0
19,0.3933088596995494,0.3933088596995377,0.3933088596995494,0.27891036395713703,0.22310542221080898,-1.158692609498449e-14,0.9800618727391147,0.9800618727391147,0.9800618727391147,0.610162644694976,0.47444971873868996,3.4620088361299555e-14,0.980063152517077,0.980063152517077,0.980063152517077,0.6101641005676117,0.4744509239598059,-1.731003322676137e-14,0.8906291636253767,0.8906291636253767,0.8906291636253767,0.5302614062369039,0.4255041454508721,-2.7179427193703697e-14,1.7579671406637376,1.7579671406637376,1.7579671406637376,1.0795858387645085,0.8450154161609287,0.0,0.40454960228923825,0.40454960228928394,0.40454960228923825,0.29785476972030406,0.23730061503572641,-3.413598516441676e-14
