farm_id,n_turb,cent_lon,cent_lat,pc1_angle,axis_bearing,pc1_share,aspect_ratio,nn_mean_m,nn_med_m,spacing_D_mean,spacing_D_med,ce_r,n_comp,layout_type,last_year,country
67,73,0.292219,53.645441,64.56,25.44,0.6586,1.389,582.2,584.8,2.941,2.954,2.186,1,rule_grid,2024,United Kingdom
68,72,6.8501545,55.1948855,102.51,167.49,0.9715,5.84,991.1,991.1,5.005,5.005,2.162,1,belt,2024,Denmark
69,71,0.234987,49.893795,63.4,26.6,0.8368,2.265,1083.2,1088.7,5.471,5.499,2.306,1,rule_grid,2024,France
70,70,121.2344305,36.4325515,82.75,7.25,0.8181,2.121,675.8,659.3,3.413,3.33,1.429,2,multi_cluster,2024,China
71,69,120.789452,24.70959,44.09,45.91,0.8572,2.45,883.1,946.6,4.46,4.781,1.441,1,belt,2024,Taiwan
72,68,110.629524,20.581868,76.39,13.61,0.6584,1.388,638.0,616.4,3.222,3.113,1.339,1,cluster,2024,China
73,67,1.378235,53.267633,127.47,142.53,0.745,1.709,870.1,845.9,4.395,4.272,1.965,1,rule_grid,2024,United Kingdom
74,62,122.229294,29.580327,9.16,80.84,0.9258,3.532,389.8,389.5,1.969,1.967,1.156,2,multi_cluster,2024,China
75,62,-2.5464755,48.855705,117.02,152.98,0.8402,2.293,1072.1,1077.3,5.415,5.441,1.881,1,rule_grid,2024,France
76,61,118.572151,38.326921,156.96,113.04,0.8475,2.357,602.5,551.1,3.043,2.783,0.815,4,multi_cluster,2024,China
77,60,109.4251745,20.144993499999998,163.95,106.05,0.8179,2.119,709.9,701.2,3.585,3.542,1.261,3,multi_cluster,2024,China
78,60,123.2021125,39.473219,83.44,6.56,0.7029,1.538,639.0,619.9,3.227,3.131,1.449,1,cluster,2024,China
79,60,120.3054195,37.8291655,40.11,49.89,0.8492,2.373,781.1,713.5,3.945,3.604,1.374,2,multi_cluster,2024,China
80,60,-3.825689,54.117904499999995,155.92,114.08,0.804,2.025,1027.5,1040.3,5.189,5.254,1.761,1,cluster,2024,United Kingdom
81,59,119.39043,25.404175,155.12,114.88,0.8742,2.636,537.0,521.0,2.712,2.631,1.216,2,multi_cluster,2024,China
82,58,121.590019,33.321808000000004,2.12,87.88,0.8984,2.973,664.4,655.9,3.355,3.312,1.591,1,belt,2024,China
83,58,-3.712881,54.754173,50.8,39.2,0.5757,1.165,442.1,443.2,2.233,2.238,2.12,1,rule_grid,2024,United Kingdom
84,57,-3.222162,53.485783,175.74,94.26,0.9032,3.055,812.9,894.6,4.106,4.518,1.822,1,belt,2024,United Kingdom
85,56,121.997856,28.922221,72.15,17.85,0.8577,2.455,719.5,695.7,3.634,3.514,1.442,1,belt,2024,China
86,56,105.3960245,8.9236965,66.9,23.1,0.9773,6.569,334.6,289.9,1.69,1.464,0.725,6,multi_cluster,2024,Vietnam
