farm_id,template,dE_GWh_orientation,pct_orientation,A_pct,E_rot_mean_kWh_per_turb
80,S_D,0.013075,0.462,0.46,47148645.7
80,S_E,0.003707,0.115,0.115,53744151.3
81,S_A,0.023613,0.717,0.717,55806008.2
81,S_B0,0.116152,4.162,4.161,47304890.5
81,S_B45,0.116136,4.161,4.161,47304863.4
81,S_C,0.061349,1.975,1.975,52641110.6
81,S_D,0.099777,3.393,3.392,49842729.2
81,S_E,0.015547,0.469,0.469,56143952.3
82,S_A,0.005182,0.235,0.235,38017286.7
82,S_B0,0.008227,0.478,0.478,29665412.8
82,S_B45,0.008228,0.478,0.478,29665394.4
82,S_C,0.010147,0.505,0.505,34629773.6
82,S_D,0.012958,0.699,0.698,31951720.4
82,S_E,0.003834,0.172,0.172,38421434.4
83,S_A,0.004099,0.161,0.161,43783280.7
83,S_B0,0.017,0.83,0.83,35320165.9
83,S_B45,0.016993,0.83,0.829,35320276.2
83,S_C,0.012673,0.542,0.542,40298351.1
83,S_D,0.018829,0.863,0.861,37625390.4
83,S_E,0.003074,0.12,0.12,44218668.9
84,S_A,0.003576,0.141,0.141,44430354.4
84,S_B0,0.011599,0.576,0.576,35307255.3
84,S_B45,0.011595,0.576,0.576,35307374.8
84,S_C,0.008853,0.382,0.382,40657144.0
84,S_D,0.012604,0.585,0.586,37779453.7
84,S_E,0.002561,0.1,0.1,44903390.1
85,S_A,0.013349,0.615,0.615,38762995.4
85,S_B0,0.059388,3.493,3.493,30361213.5
85,S_B45,0.059379,3.492,3.492,30361196.6
85,S_C,0.036653,1.85,1.85,35379846.8
85,S_D,0.057339,3.133,3.132,32679566.6
85,S_E,0.009145,0.417,0.417,39163725.8
86,S_A,0.018801,1.49,1.49,22528085.1
86,S_B0,0.045865,5.252,5.251,15594985.1
86,S_B45,0.045858,5.251,5.251,15594995.7
86,S_C,0.033732,3.087,3.087,19511653.7
86,S_D,0.051299,5.277,5.276,17358278.2
86,S_E,0.013049,1.017,1.017,22918094.5
87,S_A,0.006148,0.21,0.21,52220797.4
87,S_B0,0.016559,0.686,0.686,43107086.9
87,S_B45,0.016548,0.686,0.685,43107199.9
87,S_C,0.013914,0.512,0.512,48541659.2
87,S_D,0.017943,0.702,0.701,45642802.6
87,S_E,0.0044,0.149,0.149,52671260.1
88,S_A,0.005004,0.301,0.301,30229216.0
88,S_B0,0.008846,0.711,0.711,22622589.0
88,S_B45,0.008846,0.711,0.711,22622575.9
88,S_C,0.009849,0.662,0.662,27064908.5
88,S_D,0.011488,0.847,0.846,24649888.7
88,S_E,0.003588,0.213,0.213,30615903.3
89,S_A,0.004161,0.199,0.199,37988114.2
89,S_B0,0.016093,0.993,0.993,29471433.1
89,S_B45,0.016088,0.993,0.992,29471416.2
89,S_C,0.011373,0.599,0.599,34519965.4
89,S_D,0.014272,0.816,0.815,31793789.0
89,S_E,0.003139,0.149,0.149,38403700.2
90,S_A,0.016798,0.951,0.951,32105077.8
90,S_B0,0.060689,4.64,4.64,23781435.2
90,S_B45,0.060683,4.639,4.64,23781427.2
90,S_C,0.038768,2.459,2.459,28665519.1
90,S_D,0.062457,4.366,4.363,26011182.0
