farm_id,year,n_turb,layout_type,wake_model,country,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_time_s,layout_group,theta_opt,s1_expected_AEP,s1_expected_WakeLoss,farm_id_int,axis_deg,paradigm,n_turbines,depth_m,region,axis_deviation,AEP_GWh
97,2024,49,s1_opt_30deg,gauss,China,1182823696.62368,1466691792.8318102,0.3062580450998348,0.1935431135535658,39.566937399999006,s1_opt,30,1149856476.1043377,0.2001104564735795,97.0,90.4,C,21.0,19.0,Europe,-60.400000000000006,1.18282369662368
94,2022,50,s1_opt_0deg,gauss,China,1229976097.388822,1393891107.0712798,0.3289585711122819,0.1175952761667741,43.01382469999953,s1_opt,0,1422783121.8826294,0.1161105471691505,94.0,47.3,B,246.0,38.0,Europe,-47.3,1.229976097388822
94,2023,50,s1_opt_0deg,gauss,China,1306431919.2016337,1479218979.0968823,0.3452515642710448,0.1168096558636244,42.55813320000016,s1_opt,0,1422783121.8826294,0.1161105471691505,94.0,47.3,B,246.0,38.0,Europe,-47.3,1.3064319192016336
94,2024,50,s1_opt_0deg,gauss,China,1335894045.7386222,1518145009.5062134,0.3519678687231253,0.1200484555996858,36.682436200004304,s1_opt,0,1422783121.8826294,0.1161105471691505,94.0,47.3,B,246.0,38.0,Europe,-47.3,1.3358940457386221
95,2024,50,s1_opt_150deg,gauss,Sweden,2223289405.0018096,2439956936.8071947,0.5410779763937235,0.0887997359858757,33.08014429999457,s1_opt,150,2089060473.1913188,0.0971202337900062,95.0,65.4,B,5.0,71.0,Europe,84.6,2.2232894050018097
96,2014,50,s1_opt_60deg,gauss,United Kingdom,1612230178.219251,2048500593.2815635,0.397541654104118,0.2129706071324274,41.66996949999884,s1_opt,60,1548101403.5389576,0.2145056189429901,96.0,168.7,B,114.0,47.0,Europe,71.30000000000001,1.612230178219251
96,2015,50,s1_opt_60deg,gauss,United Kingdom,1821914725.324905,2266927425.3967605,0.4451294222635976,0.1963065491582593,41.190045099996496,s1_opt,60,1548101403.5389576,0.2145056189429901,96.0,168.7,B,114.0,47.0,Europe,71.30000000000001,1.8219147253249048
96,2016,50,s1_opt_60deg,gauss,United Kingdom,1575037952.073689,2031626736.4071295,0.3858968399053507,0.2247404880784864,33.52948099999048,s1_opt,60,1548101403.5389576,0.2145056189429901,96.0,168.7,B,114.0,47.0,Europe,71.30000000000001,1.575037952073689
96,2017,50,s1_opt_60deg,gauss,United Kingdom,1604967483.2948918,2094789104.5855727,0.3888002624260881,0.2338286084353039,32.64832690000185,s1_opt,60,1548101403.5389576,0.2145056189429901,96.0,168.7,B,114.0,47.0,Europe,71.30000000000001,1.604967483294892
96,2018,50,s1_opt_60deg,gauss,United Kingdom,1558673494.7645676,1995390484.568529,0.3854286584482115,0.218862920907631,34.787479599996004,s1_opt,60,1548101403.5389576,0.2145056189429901,96.0,168.7,B,114.0,47.0,Europe,71.30000000000001,1.5586734947645675
96,2019,50,s1_opt_60deg,gauss,United Kingdom,1589377169.3179402,2025427436.023124,0.3892670020372129,0.2152880221477385,32.81018760000006,s1_opt,60,1548101403.5389576,0.2145056189429901,96.0,168.7,B,114.0,47.0,Europe,71.30000000000001,1.5893771693179402
96,2020,50,s1_opt_60deg,gauss,United Kingdom,1849906446.4647229,2260155810.068233,0.449715922320341,0.1815137530678139,39.961134299999685,s1_opt,60,1548101403.5389576,0.2145056189429901,96.0,168.7,B,114.0,47.0,Europe,71.30000000000001,1.8499064464647228
96,2021,50,s1_opt_60deg,gauss,United Kingdom,1577865772.8923051,1996327411.1907551,0.3813572864996508,0.2096157353511711,43.01177420000022,s1_opt,60,1548101403.5389576,0.2145056189429901,96.0,168.7,B,114.0,47.0,Europe,71.30000000000001,1.5778657728923051
96,2022,50,s1_opt_60deg,gauss,United Kingdom,1582716829.1095548,2006574327.249996,0.3883967678796453,0.2112343870766734,33.57864900000277,s1_opt,60,1548101403.5389576,0.2145056189429901,96.0,168.7,B,114.0,47.0,Europe,71.30000000000001,1.5827168291095548
96,2023,50,s1_opt_60deg,gauss,United Kingdom,1744592477.7937803,2196907834.691592,0.4212465236734952,0.2058872701691234,33.14544389999355,s1_opt,60,1548101403.5389576,0.2145056189429901,96.0,168.7,B,114.0,47.0,Europe,71.30000000000001,1.7445924777937802
96,2024,50,s1_opt_60deg,gauss,United Kingdom,1676153307.38405,2103702820.6945384,0.4147354465876655,0.203236649732367,43.30955130000075,s1_opt,60,1548101403.5389576,0.2145056189429901,96.0,168.7,B,114.0,47.0,Europe,71.30000000000001,1.67615330738405
4,2020,51,s1_opt_40deg,gauss,China,1757638610.2597766,1930101384.8616989,0.42265761788026,0.0893542567010178,39.39194410000346,s1_opt,40,10758053611.567602,0.1742442089356619,4.0,40.6,E,5.0,23.0,US_East,-0.5999999999999943,1.7576386102597765
74,2018,52,s1_opt_170deg,gauss,China,1847098989.2589152,2005481469.605572,0.4430173909806097,0.0789747912145039,34.440469699999085,s1_opt,170,2205605911.6117754,0.0940935599318969,74.0,4.3,A,364.0,22.0,East_Asia,-14.300000000000011,1.8470989892589151
81,2020,52,s1_opt_20deg,gauss,China,2542981979.6582937,2752226756.071513,0.5914076624599509,0.0760274479388799,41.40631619999476,s1_opt,20,2777388247.784765,0.0898031678609791,81.0,76.4,C,75.0,2.0,East_Asia,-56.400000000000006,2.5429819796582938
89,2018,52,s1_opt_130deg,gauss,China,1749743433.543949,1991734458.1615293,0.41358053322932,0.1214976341981604,41.400971399998525,s1_opt,130,1776627349.0934415,0.1340003055185573,89.0,67.0,C,56.0,1.0,East_Asia,63.0,1.7497434335439488
12,2021,53,s1_opt_60deg,gauss,China,1691589065.9133904,1849831664.3456087,0.3991093513636931,0.0855443235631917,21.627483900010706,s1_opt,60,8157665338.0707855,0.0937768365908728,12.0,174.7,E,12.0,2.0,East_Asia,65.30000000000001,1.6915890659133903
3,2020,54,s1_opt_10deg,gauss,China,1602758570.4490426,1738284613.7258492,0.3820403432562088,0.0779653931276071,21.90628910000669,s1_opt,10,13540802940.263298,0.1571064159828343,3.0,55.9,B,3.0,98.0,Europe,-45.9,1.6027585704490426
85,2023,54,s1_opt_130deg,gauss,China,1710467644.8271556,1858692051.7676969,0.4165613723837248,0.0797466190268437,20.20901839999715,s1_opt,130,1907310600.782545,0.0943692334801816,85.0,19.9,C,28.0,2.0,East_Asia,-69.9,1.7104676448271556
92,2020,54,s1_opt_140deg,gauss,China,1729144770.2244744,1968113566.37351,0.3939131436659045,0.1214202270803736,20.16062859998783,s1_opt,140,1881043798.0507903,0.1206989763016529,92.0,113.6,A,11.0,1.0,Europe,26.400000000000006,1.7291447702244744
92,2021,54,s1_opt_140deg,gauss,China,1668744472.1671593,1912170391.1990333,0.3838364850391622,0.1273034663397507,21.394038500002356,s1_opt,140,1881043798.0507903,0.1206989763016529,92.0,113.6,A,11.0,1.0,Europe,26.400000000000006,1.6687444721671594
92,2022,54,s1_opt_140deg,gauss,China,1840460820.009783,2068223631.252833,0.4179351045733776,0.1101248471399979,20.721944100005203,s1_opt,140,1881043798.0507903,0.1206989763016529,92.0,113.6,A,11.0,1.0,Europe,26.400000000000006,1.840460820009783
92,2023,54,s1_opt_140deg,gauss,China,1770922762.2961247,1986893097.551164,0.408811592725589,0.1086975114671352,32.11413380000158,s1_opt,140,1881043798.0507903,0.1206989763016529,92.0,113.6,A,11.0,1.0,Europe,26.400000000000006,1.7709227622961248
