turbine_id,lon,lat,depth_m,foundation,build_year,active_2024Q4
8788,13.613075256347658,54.82820320129395,-44.0,fixed,2022,True
8789,13.61161231994629,54.820030212402344,-44.0,fixed,2022,True
8790,13.612964153289795,54.853965759277344,-45.0,fixed,2022,True
8791,13.676084518432617,54.82515716552735,-44.0,fixed,2022,True
8792,13.668212413787842,54.80502510070801,-43.0,fixed,2022,True
8793,13.633506298065187,54.82058906555176,-44.0,fixed,2022,True
8794,13.614341259002686,54.83975601196289,-45.0,fixed,2022,True
8795,13.658768177032469,54.80732345581054,-43.0,fixed,2022,True
8796,13.629658222198486,54.8464241027832,-45.0,fixed,2022,True
8797,13.663428783416748,54.8305549621582,-44.0,fixed,2022,True
8798,13.639540672302246,54.81245231628418,-43.0,fixed,2022,True
8799,13.594611167907717,54.84364318847656,-45.0,fixed,2022,True
8800,13.679754734039307,54.810302734375,-43.0,fixed,2022,True
8801,13.651153564453125,54.81782913208007,-44.0,fixed,2019,True
8802,13.633741855621336,54.83608245849609,-44.0,fixed,2022,True
8803,13.67715787887573,54.81766891479492,-43.0,fixed,,False
8804,13.692669868469237,54.817291259765625,-43.0,fixed,2022,True
8805,13.709187030792238,54.80940818786621,-43.0,fixed,2022,True
8806,13.801406383514404,54.81426620483398,-43.0,fixed,2023,True
8807,13.820247650146484,54.83522415161133,-43.0,fixed,2023,True
8808,13.819032192230226,54.84927749633789,-44.0,fixed,2023,True
8809,13.801461696624754,54.82159233093262,-43.0,fixed,2023,True
8810,13.80151605606079,54.83630752563476,-43.0,fixed,2023,True
8811,13.815133094787596,54.856924057006836,-44.0,fixed,2023,True
8812,13.82192611694336,54.82852172851562,-43.0,fixed,2019,True
8813,13.801515102386475,54.82889175415039,-43.0,fixed,2023,True
8814,13.801388263702393,54.84362602233887,-44.0,fixed,2023,True
8815,13.819771766662596,54.842525482177734,-44.0,fixed,2023,True
8816,13.801437854766846,54.850992202758796,-44.0,fixed,2023,True
8817,13.823573112487795,54.82183074951172,-43.0,fixed,2023,True
8818,13.71862268447876,54.80032157897949,-43.0,fixed,2022,True
8819,13.74322271347046,54.78876495361328,-42.0,fixed,2022,True
8820,13.687464714050295,54.799808502197266,-43.0,fixed,2022,True
8821,13.697395324707031,54.797393798828125,-43.0,fixed,2022,True
8822,13.7206449508667,54.79314422607422,-42.0,fixed,2022,True
8823,13.731874942779541,54.79098129272461,-42.0,fixed,2022,True
8824,13.707138061523438,54.79538536071777,-43.0,fixed,2022,True
8825,14.047210693359377,54.858987808227546,-41.0,fixed,2016,True
8826,14.025525093078613,54.81873321533203,-39.0,fixed,2016,True
8827,14.040965080261229,54.854068756103516,-40.0,fixed,2016,True
8828,14.042614936828615,54.80800247192382,-38.0,fixed,2016,True
8829,14.031739234924313,54.84365272521973,-40.0,fixed,2016,True
8830,14.04029130935669,54.813655853271484,-38.0,fixed,2016,True
8831,14.039377212524414,54.820045471191406,-38.0,fixed,2016,True
8832,14.026622295379639,54.832584381103516,-39.0,fixed,2016,True
8833,14.039621829986572,54.82600975036622,-39.0,fixed,2016,True
8834,14.047541618347168,54.84601020812988,-40.0,fixed,2016,True
8835,14.025279045104982,54.82431411743164,-39.0,fixed,2016,True
8836,14.05308198928833,54.81541633605957,-38.0,fixed,2016,True
8837,14.043174743652344,54.840206146240234,-39.0,fixed,2016,True
8838,14.05299139022827,54.851688385009766,-40.0,fixed,2016,True
8839,14.035843849182127,54.84883499145508,-40.0,fixed,2016,True
8840,14.032273769378662,54.8016242980957,-38.0,fixed,2016,True
8841,14.028587818145752,54.83809280395508,-40.0,fixed,2016,True
8842,14.026922225952148,54.812923431396484,-38.0,fixed,2016,True
8843,14.040483474731445,54.834327697753906,-39.0,fixed,2016,True
8844,14.029203891754152,54.80727195739747,-38.0,fixed,2016,True
8845,14.04530715942383,54.80270767211914,-38.0,fixed,2016,True
8846,14.053088665008545,54.82150650024415,-38.0,fixed,2016,True
8847,14.053308010101318,54.827756881713874,-38.0,fixed,2016,True
8848,14.068646430969238,54.86173439025879,-40.0,fixed,2016,True
8849,14.063064575195312,54.86788177490235,-41.0,fixed,2016,True
8850,14.07653570175171,54.856971740722656,-39.0,fixed,2016,True
8851,14.066519260406492,54.82968139648438,-38.0,fixed,2016,True
8852,14.057143211364746,54.841779708862305,-39.0,fixed,2016,True
8853,14.054562091827393,54.8636417388916,-41.0,fixed,2016,True
8854,14.0663743019104,54.8234806060791,-38.0,fixed,2016,True
8855,14.05963134765625,54.85715293884277,-40.0,fixed,2016,True
8856,14.054822921752931,54.83611869812012,-39.0,fixed,2016,True
8857,14.059204578399656,54.80396842956542,-37.0,fixed,2016,True
8858,14.055323123931885,54.809659957885735,-37.0,fixed,2016,True
8859,14.068654537200928,54.83807373046875,-39.0,fixed,2016,True
8860,14.061869621276855,54.8472843170166,-40.0,fixed,2016,True
8861,14.07348918914795,54.844167709350586,-39.0,fixed,2016,True
8862,14.065615177154541,54.8176441192627,-37.0,fixed,2016,True
8863,14.06741237640381,54.85261535644532,-40.0,fixed,2016,True
8864,14.073948383331299,54.83496856689453,-38.0,fixed,,False
8865,14.098261833190916,54.85121917724609,-38.0,fixed,2016,True
8866,14.072832107543945,54.8717098236084,-41.0,fixed,2016,True
8867,14.078429222106934,54.81945037841797,-37.0,fixed,2016,True
8868,14.09592866897583,54.841655731201165,-37.0,fixed,2016,True
8869,14.101325988769533,54.85986709594727,-38.0,fixed,2016,True
8870,14.089890003204346,54.86995697021485,-40.0,fixed,2016,True
8871,14.07868766784668,54.86617660522461,-40.0,fixed,2016,True
8872,14.088368415832518,54.84659576416015,-38.0,fixed,2016,True
8873,14.119112014770508,54.844793319702156,-36.0,fixed,2016,True
8874,14.096020698547363,54.86503410339355,-39.0,fixed,2016,True
8875,14.085237979888914,54.86093521118164,-39.0,fixed,2016,True
8876,14.079760551452637,54.85041618347168,-39.0,fixed,2016,True
8877,14.110745906829834,54.80502128601074,-30.0,fixed,2017,True
8878,14.091172218322754,54.821407318115234,-36.0,fixed,2016,True
8879,14.089712142944338,54.85567855834962,-39.0,fixed,2016,True
8880,14.0821533203125,54.839801788330085,-37.0,fixed,2016,True
8881,14.1063814163208,54.82940673828125,-36.0,fixed,2016,True
8882,14.085596561431885,54.80845069885254,-36.0,fixed,2016,True
8883,14.079826354980469,54.83139610290527,-37.0,fixed,2016,True
8884,14.104282855987549,54.84614944458007,-37.0,fixed,2016,True
8885,14.125904560089111,54.807537078857415,-28.0,fixed,2017,True
8886,14.068099021911623,54.81236457824707,-37.0,fixed,2016,True
8887,14.079634189605713,54.8253231048584,-37.0,fixed,2016,True
8888,14.094233989715578,54.81543731689453,-35.0,fixed,2016,True
8889,14.107983112335207,54.83493614196777,-36.0,fixed,2016,True
8890,14.093477249145508,54.83324432373047,-37.0,fixed,2016,True
8891,14.0927996635437,54.827505111694336,-36.0,fixed,2016,True
8892,14.113508224487305,54.850419998168945,-37.0,fixed,2016,True
8893,14.072470664978026,54.80617141723633,-36.0,fixed,2016,True
8894,14.083726406097412,54.87491226196289,-40.0,fixed,2017,True
8895,14.103324890136719,54.82381248474121,-35.0,fixed,2016,True
8896,14.094645500183104,54.80139541625975,-32.0,fixed,2017,True
8897,14.107723712921143,54.855527877807624,-38.0,fixed,2016,True
8898,14.08069372177124,54.813823699951165,-36.0,fixed,2016,True
8899,14.11767292022705,54.79589080810546,-28.0,fixed,2017,True
8900,14.104700565338133,54.79233169555665,-28.0,fixed,2017,True
8901,14.087581157684326,54.788158416748054,-30.0,fixed,2017,True
8902,14.073743343353273,54.79836654663087,-35.0,fixed,2017,True
8903,14.085212707519531,54.795665740966804,-31.0,fixed,2017,True
8904,14.097951412200928,54.78742218017578,-27.0,fixed,,False
8905,14.13840579986572,54.80402374267579,-28.0,fixed,2017,True
8906,14.159379959106447,54.807317733764656,-28.0,fixed,2017,True
8907,14.164594173431396,54.802146911621094,-27.0,fixed,2017,True
8908,14.155182838439943,54.81280708312988,-29.0,fixed,2017,True
8909,14.176817417144777,54.81014060974122,-28.0,fixed,2017,True
8910,14.150076389312746,54.80180549621582,-27.0,fixed,2017,True
8911,14.179797172546387,54.80254554748535,-26.0,fixed,2017,True
8912,14.102065086364746,54.77920150756836,-26.0,fixed,2017,True
8913,14.113581657409668,54.75559997558594,-24.0,fixed,2017,True
8914,14.132752895355225,54.759124755859375,-23.0,fixed,2017,True
8915,14.095317363739015,54.77285385131836,-27.0,fixed,2017,True
8916,14.109840393066404,54.765985488891594,-25.0,fixed,2017,True
8917,14.123552799224855,54.76923942565919,-24.0,fixed,2017,True
8918,14.127482414245604,54.77641487121582,-25.0,fixed,2017,True
8919,14.1214280128479,54.76124763488769,-24.0,fixed,2017,True
8920,14.12528705596924,54.75377082824707,-24.0,fixed,2017,True
8921,14.11865520477295,54.781352996826165,-26.0,fixed,2017,True
8922,14.139971733093258,54.7720947265625,-24.0,fixed,2017,True
8923,14.141107559204102,54.76625633239746,-23.0,fixed,2017,True
8924,14.136260032653809,54.79089546203613,-27.0,fixed,2017,True
8925,14.131580352783203,54.79841995239258,-28.0,fixed,2017,True
8926,14.13294792175293,54.78323745727539,-26.0,fixed,2017,True
8927,14.139722824096681,54.75345420837402,-24.0,fixed,2017,True
8928,14.113202571868896,54.774959564208984,-25.0,fixed,2017,True
8929,14.14170551300049,54.77799034118652,-24.0,fixed,2017,True
8930,14.122669219970703,54.78826713562012,-27.0,fixed,2017,True
8931,14.10845136642456,54.785078048706055,-27.0,fixed,2017,True
8932,14.147974491119385,54.76072311401367,-23.0,fixed,2017,True
8933,14.149787425994875,54.79384803771973,-27.0,fixed,2017,True
8934,14.158961296081543,54.76626205444336,-22.0,fixed,2017,True
8935,14.152842044830322,54.75549888610839,-23.0,fixed,2017,True
8936,14.156919479370117,54.77176094055176,-22.0,fixed,2017,True
8937,14.177352905273438,54.79287338256836,-24.0,fixed,2017,True
8938,14.15623474121094,54.78060531616211,-23.0,fixed,2017,True
8939,14.172271251678465,54.7835693359375,-23.0,fixed,2017,True
8940,14.168844223022463,54.77823257446289,-23.0,fixed,2017,True
8941,14.159960746765137,54.79000473022461,-24.0,fixed,2017,True
8942,14.165528774261473,54.795623779296875,-25.0,fixed,2017,True
8943,14.146525382995605,54.786466598510735,-25.0,fixed,2017,True
8944,14.169774055480957,54.78781127929688,-24.0,fixed,2016,True
8945,13.863264560699461,54.829286575317376,-43.0,fixed,2018,True
8946,13.865006446838379,54.82192802429199,-42.0,fixed,2023,True
8947,13.859666347503662,54.844057083129876,-43.0,fixed,2023,True
8948,13.861467838287354,54.836727142333984,-43.0,fixed,2023,True
8949,13.866671085357664,54.81447410583496,-42.0,fixed,2023,True
8950,13.868398189544678,54.80712890625,-41.0,fixed,2023,True
8951,13.884734153747557,54.83143424987793,-42.0,fixed,2023,True
8952,13.914396286010744,54.81071662902832,-41.0,fixed,2023,True
8953,13.908985137939453,54.82665443420411,-42.0,fixed,2018,True
8954,13.899554729461672,54.854047775268555,-43.0,fixed,2023,True
8955,13.890737533569336,54.810081481933594,-41.0,fixed,2023,True
8956,13.882708072662352,54.83854866027831,-43.0,fixed,2023,True
8957,13.906681537628176,54.83345222473144,-42.0,fixed,2023,True
8958,13.876655578613281,54.85991096496583,-44.0,fixed,2019,True
8959,13.878727436065676,54.85272026062012,-43.0,fixed,2023,True
8960,13.888782024383543,54.81707572937012,-42.0,fixed,2019,True
8961,13.897228717803955,54.86098670959473,-43.0,fixed,2023,True
8962,13.88072109222412,54.84545326232911,-43.0,fixed,2018,True
8963,13.90196704864502,54.847272872924805,-43.0,fixed,2023,True
8964,13.91199541091919,54.81772041320801,-41.0,fixed,2023,True
8965,13.886833190917969,54.82427787780761,-42.0,fixed,2023,True
8966,13.892723560333252,54.802827835083015,-41.0,fixed,2023,True
8967,13.904291152954102,54.84033393859863,-42.0,fixed,2023,True
8968,13.899549007415771,54.82139587402344,-42.0,fixed,,False
8969,13.869990348815918,54.79984664916992,-41.0,fixed,2019,True
8970,13.894942283630373,54.79498863220214,-40.0,fixed,2023,True
8971,13.921404361724854,54.78952407836914,-40.0,fixed,2023,True
8972,14.072976589202883,54.7913475036621,-32.0,fixed,2017,True
8973,14.061747550964355,54.77083778381348,-30.0,fixed,2017,True
8974,14.102314472198485,54.757938385009766,-25.0,fixed,2017,True
8975,14.080097198486328,54.763118743896484,-27.0,fixed,2017,True
8976,14.060926914215088,54.794551849365234,-36.0,fixed,2017,True
8977,14.071741580963135,54.7831802368164,-30.0,fixed,2017,True
8978,14.057512760162352,54.78724670410157,-34.0,fixed,2017,True
8979,14.081980705261229,54.77718734741211,-28.0,fixed,2017,True
8980,14.091213703155518,54.76052284240723,-26.0,fixed,2017,True
8981,14.06843852996826,54.76647567749024,-27.0,fixed,2017,True
8982,14.055370330810547,54.781639099121094,-33.0,fixed,2017,True
8983,14.095624923706056,54.7671012878418,-26.0,fixed,2017,True
8984,14.081347465515138,54.77115440368653,-28.0,fixed,2017,True
8985,-1.067617118358612,54.639957427978516,-13.0,fixed,2016,True
8986,-1.086280703544617,54.63566589355469,-8.0,fixed,2016,True
8987,-1.107730031013489,54.65177536010742,-13.0,fixed,2016,True
8988,-1.090369343757629,54.63754844665527,-11.0,fixed,2016,True
8989,-1.098691940307617,54.64126014709473,-10.0,fixed,2016,True
8990,-1.080016613006592,54.64557075500488,-14.0,fixed,2016,True
8991,-1.100727558135986,54.65496444702149,-15.0,fixed,2016,True
8992,-1.08413827419281,54.64745903015137,-15.0,fixed,2016,True
8993,-1.111141145229339,54.646842956542976,-11.0,fixed,2016,True
8994,-1.092506647109985,54.65119743347169,-15.0,fixed,2016,True
8995,-1.071789145469665,54.64186096191406,-15.0,fixed,2016,True
8996,-1.102808058261871,54.64314651489257,-11.0,fixed,2016,True
8997,-1.111914753913879,54.65362548828125,-12.0,fixed,2016,True
8998,-1.082918882369995,54.64052963256836,-12.0,fixed,2016,True
8999,-1.095395922660828,54.646156311035156,-14.0,fixed,2016,True
9000,-1.09123694896698,54.64421272277832,-13.0,fixed,2016,True
9001,-1.094599962234497,54.63943862915038,-10.0,fixed,2016,True
9002,-1.087060809135437,54.64243125915527,-14.0,fixed,2016,True
9003,-1.115254461765289,54.64872741699219,-10.0,fixed,2016,True
9004,-1.103602170944214,54.64985656738282,-12.0,fixed,2016,True
9005,-1.075893223285675,54.643753051757805,-14.0,fixed,2016,True
9006,-1.099465847015381,54.64803886413574,-13.0,fixed,2016,True
9007,-1.096616446971893,54.65305709838867,-14.0,fixed,2016,True
9008,-1.088287472724915,54.6493091583252,-14.0,fixed,2016,True
9009,-1.078790366649628,54.63859176635742,-13.0,fixed,2016,True
9010,-1.119403719902039,54.65063667297363,-11.0,fixed,2016,True
9011,-1.107000768184662,54.644947052001946,-10.0,fixed,2016,True
9012,6.387916326522827,54.54128074645996,-39.0,fixed,2016,True
9013,6.34873628616333,54.53524017333984,-39.0,fixed,2016,True
9014,6.39487361907959,54.52903366088867,-39.0,fixed,2016,True
9015,6.394688129425049,54.53516387939454,-39.0,fixed,2016,True
