farm_id,angle_deg,n_turb,country,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_s
134,0,24,Netherlands,1303984482.176517,1356638945.5954285,0.6202361501981151,0.03881243686086384,1.9682960999998613
134,10,24,Netherlands,1298548309.2598681,1356638945.5954285,0.6176504515124943,0.04281952580247087,1.9610669999965467
134,20,24,Netherlands,1303984482.176517,1356638945.5954285,0.6202361501981151,0.03881243686086384,1.9575731000004453
134,30,24,Netherlands,1298548309.259867,1356638945.5954285,0.6176504515124938,0.042819525802471746,1.9639039999965462
134,40,24,Netherlands,1303984482.176518,1356638945.5954285,0.6202361501981155,0.038812436860863136,1.965554800000973
134,50,24,Netherlands,1298548309.2598689,1356638945.5954285,0.6176504515124946,0.042819525802470344,1.9596223999978974
134,60,24,Netherlands,1303984482.176518,1356638945.5954285,0.6202361501981155,0.038812436860863136,1.9635521000018343
134,70,24,Netherlands,1298548309.2598681,1356638945.5954285,0.6176504515124943,0.04281952580247087,1.9643205000029411
134,80,24,Netherlands,1303984482.1765165,1356638945.5954285,0.6202361501981148,0.03881243686086419,1.9496890000009444
134,100,24,Netherlands,1303984482.1765172,1356638945.5954285,0.6202361501981152,0.038812436860863664,1.9642724999939674
134,110,24,Netherlands,1298548309.2598703,1356638945.5954285,0.6176504515124954,0.04281952580246929,1.9610407000000123
134,120,24,Netherlands,1303984482.1765163,1356638945.5954285,0.6202361501981146,0.038812436860864365,1.9550820000004023
134,130,24,Netherlands,1298548309.2598696,1356638945.5954285,0.6176504515124951,0.04281952580246982,1.9565440000005765
134,140,24,Netherlands,1303984482.1765165,1356638945.5954285,0.6202361501981148,0.03881243686086419,1.9610039999970468
134,150,24,Netherlands,1298548309.259867,1356638945.5954285,0.6176504515124938,0.042819525802471746,1.9563655000019935
134,160,24,Netherlands,1303984482.1765156,1356638945.5954285,0.6202361501981143,0.03881243686086489,1.987059400002181
134,170,24,Netherlands,1298548309.2598689,1356638945.5954285,0.6176504515124946,0.042819525802470344,2.0294859999994515
137,0,21,Germany,1129717032.949344,1187059077.396,0.6141101505486758,0.04830597359353399,1.8366141000005882
137,10,21,Germany,1132331186.39463,1187059077.396,0.6155311950394814,0.04610376353081277,1.828254799998831
137,20,21,Germany,1129717032.9493425,1187059077.396,0.614110150548675,0.048305973593535195,1.8303989000050933
137,30,21,Germany,1132331186.3946276,1187059077.396,0.6155311950394801,0.04610376353081478,1.8391352999969968
137,40,21,Germany,1129717032.9493434,1187059077.396,0.6141101505486755,0.04830597359353439,1.8475983000025735
137,60,21,Germany,1129717032.9493442,1187059077.396,0.6141101505486759,0.04830597359353379,1.8759057999996003
137,70,21,Germany,1132331186.3946297,1187059077.396,0.6155311950394813,0.04610376353081297,1.8746380000011413
137,80,21,Germany,1129717032.9493425,1187059077.396,0.614110150548675,0.048305973593535195,1.8797220999986166
137,90,21,Germany,1132331186.394629,1187059077.396,0.6155311950394808,0.04610376353081357,1.8661462999953073
137,100,21,Germany,1129717032.949345,1187059077.396,0.6141101505486765,0.04830597359353298,1.8839344000007259
137,110,21,Germany,1132331186.3946319,1187059077.396,0.6155311950394824,0.046103763530811165,1.8732224000050337
137,120,21,Germany,1129717032.949343,1187059077.396,0.6141101505486752,0.04830597359353479,1.8760086999973282
137,130,21,Germany,1132331186.3946278,1187059077.396,0.6155311950394802,0.04610376353081458,1.882692599996517
137,140,21,Germany,1129717032.9493434,1187059077.396,0.6141101505486755,0.04830597359353439,1.883200999996916
137,150,21,Germany,1132331186.3946316,1187059077.396,0.6155311950394823,0.046103763530811366,1.8704024999969988
137,160,21,Germany,1129717032.949343,1187059077.396,0.6141101505486752,0.04830597359353479,1.8757053000008455
137,170,21,Germany,1132331186.39463,1187059077.396,0.6155311950394814,0.04610376353081277,1.87460529999953
138,0,10,United States of America,562713751.781724,565266227.3314285,0.6423672965544794,0.004515528128674096,0.49868140000035055
138,10,10,United States of America,561414897.4890808,565266227.3314285,0.6408845861747497,0.00681330257519457,0.49341850000200793
138,20,10,United States of America,562713751.7817237,565266227.3314285,0.6423672965544791,0.004515528128674518,0.5142095999981393
138,30,10,United States of America,561414897.4890808,565266227.3314285,0.6408845861747497,0.00681330257519457,0.4916793999946094
138,40,10,United States of America,562713751.781724,565266227.3314285,0.6423672965544794,0.004515528128674096,0.5128812000039034
138,50,10,United States of America,561414897.4890807,565266227.3314285,0.6408845861747496,0.006813302575194781,0.4909288999988348
