farm_id,angle_deg,turbine_type,n_turb,country,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_s
66,90,iea_10MW,74,China,3974457274.521597,4182970082.2525716,0.6131150923302475,0.04984802750936445,15.298649900003511
66,90,ow_6MW,74,China,2140617203.3868098,2217147953.3142858,0.5503664289426781,0.03451765580780234,15.16155710000021
66,90,ow_8MW,74,China,2754039474.655409,2873747471.1428566,0.5310609254781039,0.04165571181515167,15.19639360000292
66,100,iea_10MW,74,China,3914231470.755738,4182970082.2525716,0.6038244277976887,0.06424588419530732,15.03692079999746
66,100,ow_6MW,74,China,2104574879.9563217,2217147953.3142858,0.5410997161432807,0.0507738210206879,14.757540500002506
66,100,ow_8MW,74,China,2703876137.64915,2873747471.1428566,0.5213879384273475,0.05911143383317213,15.380407299999206
66,110,iea_10MW,74,China,3974457274.570322,4182970082.2525716,0.6131150923377641,0.049848027497715997,15.186423200000718
66,110,ow_6MW,74,China,2140617203.3868032,2217147953.3142858,0.5503664289426764,0.03451765580780535,15.03930340000079
66,110,ow_8MW,74,China,2754039474.655402,2873747471.1428566,0.5310609254781027,0.041655711815154,14.179737299993576
66,120,iea_10MW,74,China,3914231470.755739,4182970082.2525716,0.603824427797689,0.06424588419530697,14.743147199995292
66,120,ow_6MW,74,China,2104574879.9563253,2217147953.3142858,0.5410997161432817,0.05077382102068629,14.742579400000977
66,120,ow_8MW,74,China,2703876137.649153,2873747471.1428566,0.5213879384273481,0.05911143383317097,14.219452900004399
66,130,iea_10MW,74,China,3974457274.5703287,4182970082.2525716,0.6131150923377652,0.0498480274977144,14.414088400000765
66,130,ow_6MW,74,China,2140617203.3868103,2217147953.3142858,0.5503664289426782,0.034517655807802125,15.52580869999656
66,130,ow_8MW,74,China,2754039474.655409,2873747471.1428566,0.5310609254781039,0.04165571181515167,14.569765999993251
66,140,iea_10MW,74,China,3914231470.7557483,4182970082.2525716,0.6038244277976904,0.0642458841953048,15.095067900001595
66,140,ow_6MW,74,China,2104574879.9563298,2217147953.3142858,0.5410997161432828,0.05077382102068424,14.964630900001794
66,140,ow_8MW,74,China,2703876137.64916,2873747471.1428566,0.5213879384273494,0.05911143383316864,15.193570700001146
66,150,iea_10MW,74,China,3974457274.521584,4182970082.2525716,0.6131150923302456,0.04984802750936753,14.87757650000276
66,150,ow_6MW,74,China,2140617203.3868017,2217147953.3142858,0.550366428942676,0.034517655807806,14.609020000003511
66,150,ow_8MW,74,China,2754039474.655398,2873747471.1428566,0.5310609254781018,0.04165571181515549,14.4828903000016
66,160,iea_10MW,74,China,3914231470.755748,4182970082.2525716,0.6038244277976903,0.06424588419530491,14.773382200000924
66,160,ow_6MW,74,China,2104574879.95633,2217147953.3142858,0.5410997161432829,0.05077382102068414,14.531051899997692
66,160,ow_8MW,74,China,2703876137.6491637,2873747471.1428566,0.5213879384273502,0.05911143383316732,14.497411799995461
66,170,iea_10MW,74,China,3974457274.570316,4182970082.2525716,0.6131150923377632,0.04984802749771748,14.848182400004589
66,170,ow_6MW,74,China,2140617203.3868062,2217147953.3142858,0.5503664289426772,0.03451765580780396,14.536471300001722
66,170,ow_8MW,74,China,2754039474.6554055,2873747471.1428566,0.5310609254781034,0.04165571181515284,14.657671599998139
91,0,iea_10MW,55,China,2974676699.7826004,3108964250.3228564,0.6174090285974679,0.0431936618525963,10.200426899995364
91,0,ow_6MW,55,China,1596083449.12168,1647880235.5714283,0.5521251726586689,0.03143237313710904,10.464540799999668
