farm_id,country,lat,lon,wd_deg
57,Vietnam,9.2189,105.8099,216.3
57,Vietnam,9.2189,105.8099,267.5
57,Vietnam,9.2189,105.8099,306.6
57,Vietnam,9.2189,105.8099,262.6
57,Vietnam,9.2189,105.8099,42.4
57,Vietnam,9.2189,105.8099,350.1
57,Vietnam,9.2189,105.8099,299.2
57,Vietnam,9.2189,105.8099,213.7
57,Vietnam,9.2189,105.8099,216.8
57,Vietnam,9.2189,105.8099,343.4
57,Vietnam,9.2189,105.8099,259.7
57,Vietnam,9.2189,105.8099,229.7
57,Vietnam,9.2189,105.8099,254.6
57,Vietnam,9.2189,105.8099,257.5
57,Vietnam,9.2189,105.8099,278.7
57,Vietnam,9.2189,105.8099,76.9
57,Vietnam,9.2189,105.8099,60.8
57,Vietnam,9.2189,105.8099,3.1
57,Vietnam,9.2189,105.8099,46.7
57,Vietnam,9.2189,105.8099,64.7
57,Vietnam,9.2189,105.8099,100.2
57,Vietnam,9.2189,105.8099,87.7
57,Vietnam,9.2189,105.8099,272.3
57,Vietnam,9.2189,105.8099,276.5
57,Vietnam,9.2189,105.8099,244.0
57,Vietnam,9.2189,105.8099,269.5
57,Vietnam,9.2189,105.8099,244.9
57,Vietnam,9.2189,105.8099,199.4
57,Vietnam,9.2189,105.8099,63.2
57,Vietnam,9.2189,105.8099,114.8
57,Vietnam,9.2189,105.8099,88.2
57,Vietnam,9.2189,105.8099,339.9
57,Vietnam,9.2189,105.8099,13.1
57,Vietnam,9.2189,105.8099,352.1
57,Vietnam,9.2189,105.8099,347.2
57,Vietnam,9.2189,105.8099,100.8
57,Vietnam,9.2189,105.8099,115.9
57,Vietnam,9.2189,105.8099,58.5
57,Vietnam,9.2189,105.8099,66.9
57,Vietnam,9.2189,105.8099,82.4
57,Vietnam,9.2189,105.8099,79.4
57,Vietnam,9.2189,105.8099,62.9
57,Vietnam,9.2189,105.8099,75.8
57,Vietnam,9.2189,105.8099,80.4
57,Vietnam,9.2189,105.8099,75.6
57,Vietnam,9.2189,105.8099,99.5
57,Vietnam,9.2189,105.8099,58.2
57,Vietnam,9.2189,105.8099,93.5
57,Vietnam,9.2189,105.8099,120.8
57,Vietnam,9.2189,105.8099,82.5
57,Vietnam,9.2189,105.8099,80.5
57,Vietnam,9.2189,105.8099,51.2
57,Vietnam,9.2189,105.8099,72.2
57,Vietnam,9.2189,105.8099,15.7
57,Vietnam,9.2189,105.8099,4.5
57,Vietnam,9.2189,105.8099,49.8
57,Vietnam,9.2189,105.8099,63.7
57,Vietnam,9.2189,105.8099,65.2
57,Vietnam,9.2189,105.8099,74.5
57,Vietnam,9.2189,105.8099,27.9
57,Vietnam,9.2189,105.8099,15.0
57,Vietnam,9.2189,105.8099,335.5
57,Vietnam,9.2189,105.8099,9.7
57,Vietnam,9.2189,105.8099,59.9
57,Vietnam,9.2189,105.8099,72.5
57,Vietnam,9.2189,105.8099,74.5
57,Vietnam,9.2189,105.8099,79.3
57,Vietnam,9.2189,105.8099,60.0
57,Vietnam,9.2189,105.8099,58.4
57,Vietnam,9.2189,105.8099,67.1
57,Vietnam,9.2189,105.8099,75.3
57,Vietnam,9.2189,105.8099,69.8
57,Vietnam,9.2189,105.8099,78.3
57,Vietnam,9.2189,105.8099,88.8
57,Vietnam,9.2189,105.8099,62.0
57,Vietnam,9.2189,105.8099,81.7
57,Vietnam,9.2189,105.8099,69.3
57,Vietnam,9.2189,105.8099,88.8
57,Vietnam,9.2189,105.8099,82.4
57,Vietnam,9.2189,105.8099,133.7
57,Vietnam,9.2189,105.8099,118.0
